Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.850000,0.370000,4.370000,-0.650000,-1.040000,-1.530000,1.760000,9.210000,-0.030000,-0.630000,-1.310000,2.310000,8.700000,-5.820000,-3.080000,0.730000,0.540000,0.140000,3.180000,-4.340000,0.460000,1.000000,1.670000,-1.930000,2.280000,2.870000,2.660000,-3.720000,-1.450000
3B Blackbio Dx Ltd.,1.740000,-1.350000,-0.350000,0.110000,1.080000,-0.600000,0.320000,-0.110000,0.230000,-0.200000,-0.050000,-0.240000,0.600000,-0.370000,-0.040000,-0.400000,0,-0.750000,2.510000,-1.600000,0.270000,-0.380000,0.370000,-0.600000,0.510000,0.320000,-0.810000,0.230000,0.310000,-0.450000,0.370000,-0.480000,0.350000,-0.450000,-0.020000,0.470000,0.810000,-0.720000,0.460000,-0.550000,0.380000,-1.050000,0.110000,0.060000,0.470000,-0.070000,0.010000,-0.330000,0.350000,-0.080000,0.160000,-0.010000,0.250000,-0.580000,-0.010000,0.030000,0.460000,-0.130000,0.480000,-0.440000,0.060000
3I Infotech Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3M India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.170000,33.100000,-1.570000,-0.120000,14.000000,11.230000,-23.790000,1.370000,-15.510000,41.920000,7.610000,-59.800000,1.350000,29.830000,78.870000,-49.440000,-27.480000,14.880000,61.050000,-6.100000,-12.770000,11.070000,19.070000,-35.090000,-21.890000,-10.570000,40.070000,0,0,0,0
3P Land Holdings Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52 Weeks Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010000,0.140000,0,1.670000,2.100000,9.500000,0.100000,1.270000,2.560000,-3.520000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63 Moons Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7Seas Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A B B India Ltd.,0,0,0,0,0,0,-19.770000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.930000,15.980000,0,0,0,0,0,0,0,0,0,28.820000,36.460000,0,0,0,0,0,0,0,0,0,0,0,0
A B Cotspin India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.980000,-16.640000,0.630000,-1.660000,17.840000,-16.440000,8.930000
A B M International Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.830000,-1.370000,0.940000,-6.550000,2.520000,3.260000,4.030000,-7.320000,-2.590000,5.700000,-1.800000,-3.920000,4.930000,-4.650000,0.280000,4.560000,-0.480000,2.260000,5.850000,0.200000,3.060000,-4.390000,1.780000,-3.820000,3.030000,-0.510000,-2.870000,-3.110000
A B M Knowledgeware Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A C C Ltd.,48.260000,-56.180000,93.950000,5.880000,109.920000,14.390000,-34.510000,-25.350000,67.510000,38.010000,-100.290000,47.830000,-5.510000,-50.930000,2.080000,-43.520000,-15.320000,75.700000,-5.580000,73.340000,-17.930000,45.030000,-100.490000,-8.310000,-64.070000,71.220000,-15.830000,-4.230000,102.210000,-18.730000,-64.350000,6.740000,59.490000,89.560000,-30.810000,-9.530000,21.280000,212.010000,-324.570000,164.670000,-125.440000,-66.760000,-114.880000,62.350000,212.030000,119.080000,-219.210000,57.260000,188.690000,222.610000,-118.560000,-156.810000,50.830000,-64.310000,76.780000,-97.670000,40.620000,-84.440000,-58.940000,-43.990000,86.080000
A C S Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.370000,0.930000,3.320000,3.790000,1.340000,5.410000,4.040000,4.750000,5.090000,-2.320000,7.040000
