,Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
0,20 Microns Ltd.,41.1,57.45,45.2,37.15,46.8,53.65,62.35,80.4,85.95,111.4,156.8,31.05,30.4,30.35,31.1,31.35,36.2,30.45,30.4,36.0,33.0,25.3,36.1,27.7,29.65,36.5,33.05,35.1,38.05,41.65,58.25,48.85,35.7,42.55,41.45,38.15,36.8,39.95,35.2,25.7,32.3,28.1,40.2,35.2,60.3,61.35,63.4,74.0,68.75,97.65,91.1,74.23,93.87,133.4,176.55,143.7,220.8,301.05,234.7,191.5,231.15,207.8,209.55
1,3B Blackbio Dx Ltd.,10.3,14.2,18.25,24.95,28.35,17.9,15.7,13.72,11.05,11.74,10.0,8.15,8.6,6.7,9.85,7.47,8.59,8.25,10.2,8.25,8.68,9.0,9.44,7.9,9.31,15.0,24.5,34.5,53.55,78.15,110.0,133.65,137.4,77.1,92.75,75.5,93.05,86.1,90.3,72.55,186.4,300.6,353.4,284.7,678.6,461.95,445.9,341.25,316.6,331.65,465.7,415.7,422.0,785.8,789.55,769.6,1121.0,1352.1,1978.65,1616.75,1454.05,1374.8,1325.2
2,3I Infotech Ltd.,60.45,60.15,59.75,43.8,46.2,26.3,11.7,15.5,9.83,8.03,8.8,5.6,4.82,6.27,7.99,7.77,10.94,8.04,9.51,5.85,5.42,3.18,4.85,4.16,5.09,5.74,5.63,5.05,4.27,3.83,8.05,5.03,4.32,3.33,3.64,3.84,3.29,2.03,1.99,1.32,2.76,3.37,6.51,7.44,9.9,8.56,94.6,51.35,41.65,43.9,40.75,27.46,33.77,40.39,49.18,39.47,36.48,32.11,28.07,21.13,25.03,21.55,20.5
3,3M India Ltd.,2772.7,3976.2,3621.4,3351.0,4190.45,4153.1,3516.75,3674.7,3885.25,4055.0,4076.2,3760.95,3490.0,3050.0,3630.0,3530.0,4508.45,6350.2,6470.75,7968.95,8308.8,10888.5,11407.4,10782.8,12844.8,12865.15,11155.3,11583.0,13209.2,14434.55,19165.25,19383.6,19629.7,22440.3,20850.8,24067.9,23244.3,20668.8,21347.1,18914.9,18793.2,18342.05,20837.35,30238.55,24348.85,24880.4,25333.1,19665.7,21869.85,24547.05,21945.25,23010.45,26985.4,31905.85,37205.65,31252.7,36823.4,33920.1,30421.15,28852.15,28522.75,29412.85,29506.2
4,3P Land Holdings Ltd.,25.3,27.1,25.0,18.9,20.25,17.0,15.15,16.1,12.74,14.36,12.6,9.0,6.45,5.78,7.09,8.85,12.57,11.4,9.01,12.14,12.02,12.38,20.89,9.86,9.99,9.96,11.79,10.9,10.8,12.66,11.4,13.2,12.01,12.42,11.55,10.23,8.9,6.63,5.33,3.01,4.18,7.0,11.11,8.51,13.0,13.89,15.63,14.5,14.59,17.05,17.0,20.42,18.8,24.11,26.96,27.48,38.13,37.8,59.05,37.36,50.42,43.4,43.17
5,52 Weeks Entertainment Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.0,0.0,2.94,8.38,20.9,57.2,149.0,134.5,0.0,0.0,124.0,205.6,254.45,269.0,233.0,160.3,95.0,38.0,10.26,4.11,3.58,1.47,1.11,1.42,0.73,0.19,0.44,0.28,0.0,0.56,0.8,0.85,1.5,2.42,3.34,2.85,2.1,2.02,2.01,1.65,1.32,1.3,1.48,1.61,1.62,1.52,1.98,1.57,1.57,1.5,1.43
6,63 Moons Technologies Ltd.,1336.2,1154.25,893.9,866.9,874.3,812.3,528.95,684.55,737.25,974.7,1129.55,711.4,777.95,141.1,185.4,373.35,252.2,223.5,203.0,191.75,152.5,111.7,116.2,77.6,86.2,80.4,71.75,75.5,62.65,77.95,118.75,87.1,77.8,69.35,98.85,80.95,111.5,125.1,101.7,46.9,76.05,68.25,81.05,69.4,91.3,92.75,228.95,268.25,166.95,161.25,168.4,175.05,244.2,281.05,472.9,382.15,367.6,387.9,903.85,810.55,1002.3,837.6,793.5
7,7Seas Entertainment Ltd.,0.0,57.85,60.05,44.25,41.35,41.75,36.95,36.5,34.0,27.5,16.6,12.97,10.5,8.5,8.17,7.02,10.96,13.11,10.44,8.47,7.45,16.9,21.8,15.41,14.55,14.94,0.0,0.0,0.0,0.0,0.0,12.46,8.5,6.65,5.0,9.16,8.5,7.84,7.11,6.97,0.0,0.0,0.0,0.0,9.87,16.6,25.15,23.2,19.35,17.65,18.4,16.93,27.06,27.8,30.3,38.07,57.49,70.21,76.3,73.22,67.69,91.65,83.96
8,A B B India Ltd.,862.15,920.95,792.25,797.25,876.1,692.5,583.6,841.55,800.8,797.75,700.4,489.2,610.85,543.9,692.8,849.95,1122.05,1147.3,1286.2,1257.0,1322.75,1057.9,1118.1,1276.5,1224.7,1134.7,1039.1,1279.65,1451.1,1396.05,1399.5,1286.6,1180.6,1402.55,1332.0,1319.85,1603.35,1521.0,1284.1,932.65,943.6,859.45,1212.15,1417.4,1806.05,1869.05,2234.85,2154.3,2296.25,3090.4,2683.15,3365.5,4421.25,4100.35,4673.95,6363.3,8492.6,8061.5,6913.95,5542.55,6076.95,5184.95,5176.4
9,A B Cotspin India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.05,424.9
