Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.940000,0,176.650000,0,212.090000,0,195.570000,0,227.940000,0,241.820000,0,272.590000,0,270.970000,0,274.020000,0,315.050000,0,328.790000,0,0,0,372.070000,0
3B Blackbio Dx Ltd.,0,14.090000,0,15.100000,0,15.210000,0,17.890000,0,17.770000,0,0,0,18.270000,0,0,0,20.850000,0,0,0,16.670000,0,17.150000,0,18.890000,0,22.160000,0,23.700000,0,26.330000,0,29.030000,0,30.870000,0,36.330000,0,39.280000,0,155.560000,0,118.290000,0,113.680000,0,81.450000,0,95.220000,0,114.140000,0,121.410000,0,123.390000,0,129.140000,0,132.190000,0
3I Infotech Ltd.,0,1091.250000,0,1179.430000,0,1201.460000,0,975.690000,0,369.170000,0,401.520000,0,458.190000,0,405.290000,0,323.750000,0,303.870000,0,290.480000,0,331.900000,0,344.890000,0,417.060000,0,391.970000,0,402.720000,0,490.790000,0,528.210000,0,536.160000,0,518.840000,0,560.270000,0,887.790000,0,493.030000,0,400.080000,0,341.250000,0,359.180000,0,378.060000,0,325.490000,0,256.860000,0,245.200000,0
3M India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1869.090000,0,0,0,1652.090000,0,1795.130000,0,1867.250000,0,1850.560000,0,2130.940000,0,2262.240000,0,2436.700000,0,2713.080000,0,2127.070000,0,2325.780000,0,2668.030000,0,0,0,0,0
3P Land Holdings Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.060000,0,0.830000,0,0.380000,0,0.740000,0,1.200000,0,0.770000,0,0.120000,0,0.130000,0,0.130000,0,0.220000,0,0.260000,0,0.290000,0,0.190000,0
52 Weeks Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020000,0,0,0,3.380000,0,5.830000,0,22.390000,0,45.550000,0,35.470000,0,43.650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63 Moons Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638.280000,0,1682.520000,0,1648.980000,0,1647.370000,0,1622.260000,0,1668.620000,0,1710.760000,0,1861.850000,0,1834.180000,0,1501.300000,0,1652.930000,0,1892.880000,0,2208.910000,0
7Seas Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A B B India Ltd.,0,0,0,0,0,0,4622.870000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4657.110000,0,0,0,0,0,0,0,0,0,0,0,6100.860000,0,0,0,0,0,0,0,0,0,0,0,0
A B Cotspin India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.030000,0,0,0,172.560000,0
A B M International Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.260000,0,17.880000,0,22.820000,0,12.130000,0,25.260000,0,33.430000,0,21.010000,0,39.230000,0,27.540000,0,40.460000,0,30.300000,0,30.860000,0,0,0
