Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.790000,0,83.590000,0,116.770000,0,106.450000,0,107.880000,0,89.410000,0,112.900000,0,94.770000,0,94.730000,0,109.160000,0,84.950000,0,0,0,87.510000,0
3B Blackbio Dx Ltd.,0,6.410000,0,6.400000,0,5.940000,0,7.040000,0,6.770000,0,0,0,7.790000,0,0,0,7.090000,0,0,0,5.360000,0,5.340000,0,5.970000,0,5.030000,0,4.460000,0,5.200000,0,5.490000,0,6.390000,0,5.660000,0,6.100000,0,36.920000,0,41.980000,0,50.360000,0,15.210000,0,18.690000,0,13.070000,0,9.600000,0,17.470000,0,14.280000,0,18.590000,0
3I Infotech Ltd.,0,559.810000,0,803.280000,0,453.350000,0,624.610000,0,710.150000,0,737.200000,0,1011.050000,0,852.960000,0,934.670000,0,956.830000,0,1163.780000,0,308.380000,0,297.310000,0,275.750000,0,242.710000,0,268.470000,0,294.160000,0,318.650000,0,341.940000,0,321.770000,0,332.670000,0,166.950000,0,193.520000,0,137.890000,0,170.920000,0,229.610000,0,304.040000,0,286.070000,0,223.060000,0,202.420000,0
3M India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1238.640000,0,0,0,677.870000,0,632.000000,0,578.350000,0,528.830000,0,718.080000,0,791.140000,0,797.800000,0,898.210000,0,1010.200000,0,1034.020000,0,1083.140000,0,0,0,0,0
3P Land Holdings Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170000,0,0.170000,0,0.020000,0,0.170000,0,0.040000,0,0.160000,0,0.040000,0,0.120000,0,0.020000,0,0.170000,0,0.260000,0,0.560000,0,0.400000,0
52 Weeks Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.520000,0,0,0,12.650000,0,11.860000,0,11.750000,0,26.600000,0,20.820000,0,25.360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63 Moons Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.630000,0,276.060000,0,258.110000,0,278.950000,0,282.840000,0,291.910000,0,286.060000,0,351.820000,0,366.200000,0,472.370000,0,318.320000,0,317.890000,0,235.360000,0
7Seas Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A B B India Ltd.,0,0,0,0,0,0,3773.410000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2998.750000,0,0,0,0,0,0,0,0,0,0,0,4336.560000,0,0,0,0,0,0,0,0,0,0,0,0
A B Cotspin India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.810000,0,0,0,9.470000,0
