Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.620000,2.570000,2.770000,2.680000,2.750000,3.310000,3.260000,3.190000,3.340000,3.630000,3.440000,3.420000,3.280000,3.400000,3.110000,3.890000,3.440000,3.340000,3.330000,3.700000,3.470000,3.480000,3.690000,3.710000,3.980000,4.600000,4.730000,4.960000,5.000000
3B Blackbio Dx Ltd.,0.040000,0.040000,0.050000,0.060000,0.050000,0.060000,0.040000,0.040000,0.050000,0.060000,0.040000,0.070000,0.070000,0.040000,0.040000,0.100000,0.060000,0.060000,0.070000,0.110000,0.090000,0.060000,0.050000,0.210000,0.110000,0.100000,0.140000,0.100000,0.110000,0.110000,0.090000,0.140000,0.150000,0.090000,0.190000,0.120000,0.150000,0.150000,0.150000,0.090000,0.150000,0.130000,0.230000,0.110000,0.150000,0.180000,0.170000,0.170000,0.170000,0.240000,0.250000,0.210000,0.190000,0.240000,0.320000,0.300000,0.270000,0.270000,0.270000,0.280000,0.280000
3I Infotech Ltd.,25.750000,25.840000,25.190000,23.720000,15.530000,17.110000,50.570000,25.960000,67.300000,75.840000,48.460000,39.210000,58.130000,57.280000,65.210000,75.790000,64.710000,52.790000,54.120000,57.480000,49.400000,49.650000,50.610000,1011.040000,4.300000,3.530000,3.440000,2.230000,2.260000,2.530000,2.140000,2.010000,2.040000,2.080000,2.110000,0,5.290000,5.500000,5.740000,0,4.870000,5.060000,4.300000,3.390000,2.900000,3.110000,3.560000,4.800000,4.810000,5.010000,7.580000,5.400000,5.360000,7.120000,7.010000,7.670000,6.900000,7.450000,7.080000,6.350000,4.620000
3M India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.720000,10.820000,11.020000,11.190000,10.770000,10.780000,14.910000,13.790000,14.750000,15.900000,15.030000,16.660000,15.740000,14.420000,14.770000,13.330000,13.620000,13.390000,14.280000,14.600000,14.680000,14.110000,13.930000,12.890000,13.130000,13.000000,13.580000,0,0,0,0
3P Land Holdings Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040000,0.040000,0.040000,0.040000,0.040000,0.040000,0.040000,0.040000,0.040000,0.040000,0.040000,0.010000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.010000,0.010000,0.010000,0.010000,0.010000
52 Weeks Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010000,0.040000,0,0.020000,0.070000,0.070000,0.070000,0.070000,0.070000,0.050000,0.070000,0.090000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63 Moons Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.280000,6.450000,6.710000,6.590000,5.550000,7.020000,6.220000,6.170000,5.120000,5.100000,4.770000,4.020000,3.310000,3.350000,3.020000,2.800000,2.880000,3.030000,3.240000,14.240000,7.660000,7.510000,6.980000,6.940000,7.180000,7.610000,7.540000,6.900000,7.690000
7Seas Entertainment Ltd.,0.170000,0.170000,0.170000,0.220000,0.520000,0.500000,0.490000,0.590000,0.490000,0.640000,0.610000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A B B India Ltd.,0,0,0,0,0,0,12.450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.010000,22.660000,0,0,0,0,0,0,0,0,0,25.920000,25.850000,0,0,0,0,0,0,0,0,0,0,0,0
A B Cotspin India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.500000,2.510000,2.160000,2.170000,2.040000,2.420000,2.030000
A B M International Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050000,0.050000,0.050000,0.050000,0.040000,0.040000,0.080000,0.670000,0.040000,0.040000,0.040000,0,0.040000,0,0.040000,0,0.020000,0.020000,0.020000,0,0.020000,0.020000,0.020000,0,0.010000,0.010000,0.010000,0,0.010000
A B M Knowledgeware Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460000,0.420000,0.420000,0.430000,0.410000,0.430000,0.460000,0.470000,0.480000,0.500000,0.520000,0.530000,0.570000,0.600000,0.640000,0.660000,0.700000,0.740000,0.770000,0.780000,0.940000,0.770000,0.820000,0.850000,0.890000,0.920000,0.940000,0.970000,1.020000
A C C Ltd.,104.680000,100.240000,119.730000,120.930000,124.660000,128.880000,135.570000,138.250000,143.880000,143.520000,143.250000,140.640000,141.120000,147.010000,155.030000,138.990000,140.140000,141.860000,146.630000,172.460000,168.330000,163.370000,158.430000,144.400000,142.040000,153.920000,168.820000,165.900000,162.980000,156.010000,158.730000,148.250000,149.020000,150.780000,155.170000,147.570000,146.860000,151.200000,160.810000,157.950000,162.670000,160.840000,157.380000,143.230000,146.480000,150.530000,160.440000,153.910000,164.670000,173.450000,172.540000,176.750000,200.050000,212.800000,235.230000,235.030000,234.540000,242.300000,259.590000,264.880000,254.580000
A C S Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320000,0.340000,0.410000,1.640000,1.120000,1.710000,1.230000,1.260000,1.260000,0,0.930000
A D F Foods Ltd.,1.610000,1.630000,1.760000,1.830000,1.870000,2.860000,2.310000,3.130000,2.250000,2.310000,2.300000,0.470000,2.570000,2.740000,2.700000,3.160000,2.710000,2.860000,2.880000,2.910000,2.970000,3.010000,3.000000,2.980000,1.130000,2.530000,1.170000,1.100000,1.100000,1.120000,1.120000,3.500000,1.080000,1.070000,1.090000,10.930000,1.350000,1.330000,1.420000,1.420000,1.450000,1.480000,1.470000,1.500000,1.450000,1.750000,1.940000,3.110000,3.280000,3.340000,3.580000,3.540000,3.580000,3.690000,3.960000,4.360000,4.410000,4.530000,4.630000,4.670000,4.890000
A F Enterprises Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.650000,0.400000,0.310000,0.310000,0.360000,0.230000,0.190000,0.170000,0.660000,0.280000,0.280000,0.270000,0.280000,0.250000,0.240000,0.240000,0,0
A G I Greenpac Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.890000,47.020000,44.250000,44.020000,40.660000
A G Ventures Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.620000,5.170000,5.290000,5.180000,5.280000,5.470000,5.380000,5.320000,5.270000,5.310000,5.410000,6.070000,5.620000,5.810000,5.940000,6.820000,7.140000,7.340000,7.730000,7.200000,0.790000,7.590000,0.810000,0.800000,0.840000,0.960000,1.060000,1.050000,1.050000
A I A Engineering Ltd.,5.680000,5.950000,7.120000,6.640000,6.920000,7.150000,7.520000,7.850000,8.440000,8.550000,8.700000,8.790000,8.890000,9.130000,9.300000,10.820000,11.830000,21.770000,18.110000,18.040000,16.550000,16.490000,14.700000,17.770000,17.490000,17.050000,17.010000,20.930000,17.760000,15.960000,17.890000,13.980000,16.550000,18.050000,21.590000,22.660000,23.620000,22.210000,25.190000,26.850000,25.110000,23.320000,23.040000,22.040000,24.170000,21.750000,24.910000,21.290000,20.800000,24.560000,24.440000,23.250000,24.250000,24.510000,26.990000,24.530000,25.360000,23.580000,26.190000,27.950000,27.700000
A I Champdany Inds. Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.040000,1.050000,1.040000,0.800000,0.820000,0.820000,0.820000,1.440000,0.980000,0.980000,0.980000,0.660000,0.900000,0.900000,0.900000,0.710000,0.850000,0.850000,0.850000,0.580000,0.780000,0,0,0,0.730000,0,0,0,0
A J R Infra & Tolling Ltd.,18.740000,21.220000,21.610000,23.370000,22.270000,11.530000,19.670000,24.420000,37.980000,27.310000,57.370000,38.200000,37.340000,36.970000,45.250000,82.240000,42.820000,43.180000,85.530000,54.020000,59.340000,60.540000,62.110000,54.400000,0,0,0,0,0,0,0,0,27.150000,27.290000,26.930000,27.380000,30.530000,31.830000,31.850000,31.420000,22.140000,22.330000,22.380000,22.070000,22.020000,22.260000,14.700000,12.480000,12.610000,12.750000,12.750000,12.470000,12.600000,12.740000,12.750000,0.270000,9.540000,8.600000,0.010000,0.010000,0
A K Capital Services Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680000,0.670000,0.670000,0.640000,1.740000,1.840000,1.890000,1.670000,1.740000,1.710000,1.700000,1.800000,1.820000,1.720000,1.960000,2.070000,1.870000,1.970000,2.160000,1.890000,1.940000,2.150000,2.300000,2.060000,2.350000,2.710000,2.720000,2.490000,2.520000
A M J Land Holdings Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460000,0.460000,0.460000,0.460000,0.460000,0.460000,0.460000,0.460000,0.460000,0.460000,0.460000,0.460000,0.470000,0.470000,0.470000,0.470000,0.460000,0.460000,0.460000,0.480000,0.470000,0.470000,0.470000,0.470000,0.470000,0.470000,0.470000,0.470000,0.470000
A N S Inds. Ltd.,0,0,0,0,0,0,0,0.120000,0,0,0,0.140000,0,0,0,0.120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A P L Apollo Tubes Ltd.,1.050000,1.350000,2.000000,1.700000,2.050000,2.050000,2.450000,2.770000,2.400000,2.800000,3.400000,3.910000,3.850000,4.320000,4.320000,3.940000,4.600000,4.780000,6.650000,5.980000,7.260000,7.640000,8.160000,11.040000,10.160000,16.730000,10.930000,13.080000,12.200000,12.350000,13.900000,14.960000,15.200000,16.150000,15.700000,17.220000,20.240000,23.950000,26.230000,25.490000,23.910000,25.080000,26.240000,27.540000,26.520000,27.280000,27.240000,27.930000,29.360000,27.620000,34.540000,46.810000,40.920000,41.340000,47.080000,46.590000,46.500000,46.880000,50.340000,57.600000,54.360000
A S I Industries Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.960000,1.640000,1.650000,1.570000,1.580000,2.310000,3.810000,3.920000,4.070000,4.150000,4.240000,4.220000,4.060000,4.090000,3.970000,3.890000,3.720000,3.880000,3.840000,4.140000,4.040000,4.010000,4.070000,4.110000,4.480000,4.350000,4.240000,4.380000,4.410000,8.800000,8.970000,8.800000,17.080000,6.800000,1.360000,1.380000,0,0,0,0,0,0,0,0,0,0
A S K Automotive Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.220000,15.380000,15.210000,14.960000,16.950000,18.110000,18.960000,20.220000,21.560000,22.580000,24.630000,26.450000
A S M Technologies Ltd.,0.110000,0.110000,0.100000,0.420000,0.200000,0.220000,0.280000,0.180000,0.250000,0.280000,0.300000,0.290000,0.310000,0.330000,0.340000,0.350000,0.350000,0.360000,0.360000,0.650000,0.410000,0.430000,0.440000,0.380000,0.390000,0.400000,0.520000,0.440000,0.420000,0.390000,0.280000,0.270000,0.260000,0.540000,0.320000,0.100000,0.710000,0.740000,0.810000,0.680000,0.970000,0.740000,0.860000,1.010000,0.830000,1.090000,1.130000,1.390000,1.720000,1.990000,2.250000,2.560000,2.760000,2.890000,2.890000,2.800000,2.600000,2.470000,2.370000,2.430000,2.920000
A V T Natural Products Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.640000,1.800000,4.160000,3.250000,3.300000,3.310000,3.900000,3.210000,3.730000,3.720000,4.250000,3.470000,3.690000,3.700000,3.880000,3.100000,3.200000,2.590000,4.090000,3.520000,3.310000,3.640000,3.550000,3.380000,3.430000,3.450000,3.380000,3.600000,2.950000
A W L Agri Business Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.160000,66.600000,67.790000,76.490000,81.300000,83.480000,85.580000,90.100000,90.960000,91.820000,93.510000,95.740000,95.400000,79.200000,96.420000,92.430000,108.440000,97.810000,102.750000
A Y M Syntex Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.480000,14.930000,14.940000,12.170000,14.110000,14.200000,14.850000,14.750000,14.950000,15.870000,15.310000,15.880000,16.740000
Aadhar Housing Finance Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.410000,4.820000,4.950000,5.450000,5.760000,6.110000,6.200000,6.480000,6.450000,7.120000
Aarcon Facilities Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130000,0,0,0,0.130000,0,0,0,0.130000,0,0,0,0.130000,0,0,0,0.130000,0,0,0,0,0
