Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Bajaj Holdings & Invst. Ltd.,31.700000,61.300000,47.300000,75.900000,29.600000,32.700000,32.100000,56.500000,31.400000,35.100000,40.600000,59.700000,39.800000,41.300000,44.400000,53.100000,46.900000,45.800000,42.400000,47.200000,55.100000,51.000000,46.800000,50.700000,50.800000,62.700000,58.100000,50.600000,48.300000,66.800000,59.400000,64.000000,63.900000,68.700000,70.200000,71.100000,60.100000,92.400000,83.800000,32.500000,61.000000,78.400000,103.300000,85.300000,70.000000,101.700000,93.500000,99.300000,87.100000,111.700000,115.500000,121.500000,127.200000,134.000000,147.800000,244.100000,144.700000,129.100000,157.100000,155.000000,313.300000
3I Infotech Ltd.,3.120000,3.240000,3.250000,3.250000,2.090000,2.520000,-7.260000,-6.150000,-8.360000,-2.130000,-1.400000,-1.120000,-1.530000,-1.760000,-1.420000,-1.870000,-1.880000,-1.490000,-1.460000,-0.710000,-1.320000,-1.690000,-1.350000,-4.430000,0.310000,0.240000,0.170000,0.270000,0.070000,0.120000,0.170000,0.150000,0.040000,0.060000,0.110000,0.220000,0.010000,0.080000,0.170000,0.150000,0.060000,0.950000,0.130000,2.700000,-0.050000,-1.430000,-1.370000,-0.230000,-0.090000,1.020000,0.770000,-1.620000,-0.930000,-9.150000,-1.740000,-5.920000,-0.520000,-0.250000,1.020000,1.590000,0.450000
3M India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.510000,86.330000,90.850000,62.390000,97.820000,53.540000,80.010000,88.780000,63.840000,53.360000,-37.740000,66.610000,52.720000,62.560000,26.720000,57.000000,59.250000,98.460000,74.800000,94.300000,110.790000,120.480000,114.700000,129.710000,120.050000,153.440000,139.500000,0,0,0,0
3P Land Holdings Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060000,-0.070000,-0.060000,-0.160000,0.120000,1.530000,0.550000,0.020000,-0.040000,-0.020000,-0.030000,0.050000,0.330000,0.140000,0.130000,0.130000,0.420000,0.150000,0.150000,0.140000,0.440000,0.220000,0.200000,0.210000,0.530000,0.210000,0.210000,0.210000
52 Weeks Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020000,0.050000,0.050000,0.050000,0.130000,0.110000,-1.180000,0.680000,1.330000,-1.950000,2.480000,-0.120000,0.790000,-1.520000,1.250000,0.740000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63 Moons Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.710000,-4.080000,-1.000000,-0.860000,-2.410000,8.480000,-3.220000,-12.850000,-0.840000,-0.100000,0,-12.820000,-2.160000,-7.390000,-2.960000,0.970000,-0.840000,-2.310000,4.770000,-5.160000,8.540000,17.880000,20.120000,1.740000,-1.860000,-4.100000,-3.620000,2.390000,0.670000
7Seas Entertainment Ltd.,0.250000,0.330000,0.540000,0.930000,1.160000,1.330000,1.410000,1.120000,1.810000,0.290000,-2.210000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A B B India Ltd.,0,0,0,0,0,0,3.030000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.150000,6.380000,0,0,0,0,0,0,0,0,0,3.760000,6.870000,0,0,0,0,0,0,0,0,0,0,0,0
A B Cotspin India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.740000,1.840000,2.210000,1.710000,3.960000,1.990000,1.910000
A B M International Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.290000,-0.680000,0.160000,-1.340000,-0.160000,-0.020000,-0.770000,-3.250000,-0.680000,1.250000,6.860000,1.190000,-1.160000,2.320000,0.990000,-0.160000,-1.190000,-6.290000,-2.650000,3.420000,-1.160000,0.040000,-2.290000,-0.210000,3.130000,-0.530000,-2.200000,-1.820000,-0.100000
A B M Knowledgeware Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.120000,2.200000,2.040000,1.480000,1.050000,1.990000,1.740000,3.110000,3.030000,2.850000,2.530000,1.710000,2.070000,2.540000,1.500000,1.130000,1.200000,2.100000,1.710000,1.640000,1.560000,1.750000,1.270000,2.610000,1.680000,1.900000,1.760000,1.920000,1.870000
A C C Ltd.,18.610000,4.600000,13.260000,18.650000,17.480000,8.490000,24.670000,8.070000,22.080000,12.890000,13.380000,23.340000,13.940000,6.330000,14.690000,21.300000,12.950000,10.260000,17.380000,12.600000,7.110000,6.140000,5.450000,12.340000,13.110000,4.780000,4.840000,11.240000,17.370000,9.670000,10.950000,13.330000,17.500000,11.140000,39.000000,18.420000,24.260000,16.110000,14.550000,17.200000,14.430000,19.380000,25.160000,29.960000,30.320000,23.970000,14.950000,21.100000,12.110000,-4.650000,6.030000,12.550000,24.820000,20.660000,28.630000,50.230000,19.240000,10.550000,58.140000,39.990000,19.990000
A C S Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.080000,0,0,0,0.400000,0.090000,0.030000,0.220000,0.380000,0.130000,0.250000,0.110000,0.320000,0.140000
A D F Foods Ltd.,0.960000,2.400000,1.670000,1.650000,0.790000,1.150000,0.620000,0.500000,0.760000,0.030000,0.540000,5.500000,1.660000,0.720000,-0.530000,0.320000,1.830000,1.250000,0.660000,0.370000,0.420000,1.420000,0.350000,0.820000,1.670000,0.910000,1.990000,1.640000,2.330000,2.790000,0.150000,3.250000,2.830000,4.930000,2.430000,1.540000,4.590000,4.640000,5.490000,6.650000,4.320000,6.280000,6.950000,7.460000,5.560000,6.240000,6.660000,5.580000,3.540000,1.240000,8.430000,7.430000,1.370000,1.370000,1.760000,2.350000,1.370000,1.790000,1.710000,1.500000,1.390000
A F Enterprises Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.420000,0.040000,-1.360000,0.350000,1.890000,1.440000,0.280000,0.040000,-0.650000,-0.330000,0.190000,-0.110000,0.010000,-0.270000,-0.350000,-0.100000,0,0
A G I Greenpac Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.140000,13.990000,14.930000,13.730000
A G Ventures Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.320000,17.470000,20.190000,19.510000,23.240000,16.880000,16.400000,16.690000,1.000000,21.250000,29.040000,27.780000,12.820000,13.350000,11.320000,5.620000,14.980000,9.440000,11.620000,12.650000,16.310000,8.970000,6.800000,16.220000,7.550000,0.200000,1.860000,0.890000,3.170000
A I A Engineering Ltd.,4.220000,4.760000,4.910000,5.520000,4.150000,4.090000,5.320000,5.560000,5.710000,4.260000,5.630000,6.760000,6.950000,7.800000,7.020000,12.680000,10.090000,11.460000,12.200000,11.950000,11.690000,10.520000,10.760000,15.470000,11.560000,11.910000,12.760000,12.210000,9.380000,9.170000,12.310000,16.140000,11.140000,12.830000,13.670000,16.520000,14.890000,16.140000,16.550000,15.020000,13.710000,15.260000,16.870000,14.180000,15.830000,14.590000,14.650000,20.630000,20.190000,25.950000,37.370000,28.430000,27.520000,34.260000,29.640000,27.630000,27.520000,27.290000,27.780000,30.550000,32.690000
A I Champdany Inds. Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060000,0.160000,0.110000,0.540000,0.060000,0.020000,0.010000,-0.180000,-1.240000,0.030000,-1.140000,-2.980000,-0.800000,-1.200000,-0.240000,1.150000,-0.740000,-0.900000,-0.310000,6.760000,-1.650000,0,0,-13.360000,-3.440000,0,0,0,0
A J R Infra & Tolling Ltd.,0.030000,0.040000,0.050000,0.120000,0.040000,-0.120000,-0.050000,-0.210000,0.160000,0.080000,-0.180000,0.140000,-0.020000,-0.320000,-0.430000,-0.550000,-0.280000,0.280000,0.060000,0.080000,0.040000,-0.090000,-0.110000,-0.160000,0,0,0,0,0,0,0,0,-0.190000,-0.360000,-0.220000,-0.880000,-0.580000,-0.660000,-0.540000,2.490000,-0.620000,-0.620000,-0.590000,-0.640000,-0.400000,-0.730000,-0.650000,-8.020000,-14.220000,-0.710000,-0.710000,-0.980000,-0.710000,-0.760000,-0.910000,0.250000,-0.610000,7.600000,-0.380000,-0.640000,0
A K Capital Services Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.310000,18.890000,45.490000,20.450000,28.190000,15.870000,26.860000,6.370000,20.530000,24.570000,47.520000,20.110000,30.090000,30.800000,31.010000,32.750000,31.540000,30.800000,33.260000,37.190000,33.770000,29.780000,30.020000,45.380000,34.400000,30.070000,25.000000,38.900000,35.000000
A M J Land Holdings Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330000,0.600000,0.300000,-0.160000,0.020000,0.280000,0.980000,1.110000,0.060000,0.690000,0.650000,-0.310000,-0.090000,0.170000,0.670000,1.410000,0.650000,0.570000,0.070000,0.380000,0.590000,0.840000,0.140000,1.140000,0.960000,0.930000,0.550000,2.540000,0.850000
A N S Inds. Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A P L Apollo Tubes Ltd.,3.530000,4.940000,5.670000,7.010000,6.410000,4.150000,4.930000,7.910000,7.330000,7.460000,9.030000,7.340000,7.950000,6.290000,5.480000,6.040000,8.470000,8.260000,7.590000,2.880000,9.320000,8.560000,13.290000,11.730000,18.640000,12.480000,12.360000,21.180000,16.430000,17.250000,15.170000,18.030000,19.800000,11.240000,5.420000,26.000000,21.540000,24.670000,6.760000,4.570000,1.360000,3.700000,5.300000,9.550000,5.900000,5.850000,4.620000,6.520000,4.820000,6.000000,6.760000,7.280000,6.980000,7.320000,5.970000,6.140000,6.960000,1.940000,7.820000,10.560000,8.550000
A S I Industries Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.290000,2.000000,-3.340000,1.390000,1.060000,0.500000,-7.340000,0.600000,1.240000,1.280000,-0.320000,0.380000,1.760000,1.320000,0,0.230000,0.770000,1.180000,-0.360000,0.620000,1.270000,0.680000,0.940000,1.270000,0.820000,0.380000,0.280000,0.590000,0.070000,0.180000,-0.320000,-0.030000,-6.030000,-1.700000,-0.450000,0.890000,0,0,0,0,0,0,0,0,0,0
A S K Automotive Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.430000,1.480000,1.140000,1.770000,2.090000,2.530000,2.420000,2.880000,3.410000,3.340000,2.920000,3.350000
A S M Technologies Ltd.,2.390000,3.370000,2.910000,3.880000,5.040000,5.410000,5.680000,6.970000,7.250000,6.940000,4.090000,3.140000,3.420000,3.720000,4.140000,4.510000,5.860000,5.190000,1.060000,-2.040000,5.460000,3.420000,2.990000,0.240000,2.430000,2.070000,1.970000,-4.860000,2.540000,3.210000,1.680000,-8.970000,4.550000,5.900000,4.710000,-1.740000,-4.450000,-1.560000,-1.800000,4.600000,3.710000,4.490000,1.170000,1.480000,2.950000,4.070000,4.870000,1.260000,3.170000,2.330000,1.080000,0.360000,0,-2.480000,-0.710000,-3.140000,2.420000,2.070000,4.810000,10.590000,10.670000
A V T Natural Products Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310000,0.290000,0.280000,0.490000,0.340000,0.500000,0.840000,0.550000,0.510000,0.600000,1.090000,0.770000,1.070000,0.930000,1.700000,1.040000,1.630000,1.640000,0.880000,0.930000,0.550000,0.760000,1.470000,0.720000,0.390000,0.410000,1.420000,0.940000,0.800000
A W L Agri Business Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.110000,2.760000,1.540000,1.600000,1.850000,2.010000,1.490000,0.380000,1.890000,0.720000,-0.610000,-1.010000,1.550000,1.210000,2.410000,2.390000,3.160000,1.470000,1.840000
A Y M Syntex Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.090000,0.050000,0.110000,0.180000,-2.280000,-0.980000,-0.210000,3.830000,0.450000,0.780000,0.700000,0.370000,-0.610000
Aadhar Housing Finance Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.560000,3.710000,5.000000,5.170000,5.110000,4.860000,5.310000,5.560000,5.680000,5.500000
Aarcon Facilities Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070000,0,0.000000,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aartech Solonics Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.300000,-1.940000,0.900000,0.470000,0.690000,0.110000,0.560000,-0.120000,0.330000,0.470000,0.580000,-0.510000,0.200000
Aarti Drugs Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.180000,6.490000,7.030000,7.680000,8.210000,9.110000,7.560000,8.690000,4.770000,9.890000,9.780000,9.970000,9.820000,7.650000,8.860000,12.060000,9.560000,13.870000,2.980000,6.320000,9.170000,8.080000,7.300000,5.540000,5.250000,4.600000,6.290000,5.970000,3.760000,4.180000,3.960000,6.070000,5.180000,4.290000,3.990000,5.150000,3.620000,3.830000,4.060000,6.880000,5.910000
