Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.250000,0,2.960000,0,3.710000,0,3.450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3B Blackbio Dx Ltd.,0,0,0,0.010000,0,0,0,0.050000,0,0.050000,0,0,0,0.050000,0,0,0,0.160000,0,0,0,0,0,0.070000,0,0.050000,0,0.170000,0,0,0,0.160000,0,0.160000,0,0.140000,0,0.150000,0,0.230000,0,0.220000,0,0.290000,0,0.280000,0,0.280000,0,0.270000,0,0.230000,0,0.210000,0,0,0,0,0,0,0
3I Infotech Ltd.,0,0,0,511.820000,0,0,0,292.130000,0,138.190000,0,105.510000,0,218.860000,0,188.560000,0,190.720000,0,173.830000,0,173.860000,0,0,0,166.280000,0,134.580000,0,0,0,139.680000,0,121.470000,0,124.120000,0,132.720000,0,131.680000,0,106.410000,0,95.420000,0,91.700000,0,96.050000,0,101.960000,0,54.010000,0,60.290000,0,52.570000,0,28.890000,0,38.990000,0
3M India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.730000,0,0,0,74.360000,0,96.020000,0,114.240000,0,120.680000,0,128.540000,0,132.190000,0,142.000000,0,151.230000,0,142.460000,0,129.090000,0,150.060000,0,0,0,0,0
3P Land Holdings Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52 Weeks Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.730000,0,0,0,23.810000,0,23.400000,0,22.730000,0,26.190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63 Moons Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.560000,0,0.560000,0,0.380000,0,0.330000,0,0.470000,0,0.130000,0,0.170000,0,0.140000,0,0.110000,0,0.030000,0,0.020000,0,0.020000,0,0,0
7Seas Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A B B India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.970000,0,0,0,0,0,0,0,0,0,0,0,265.410000,0,0,0,0,0,0,0,0,0,0,0,0
A B Cotspin India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
