Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.990000,0,199.310000,0,200.670000,0,197.300000,0,202.580000,0,198.850000,0,207.130000,0,210.760000,0,213.460000,0,216.520000,0,212.230000,0,0,0,284.330000,0
3B Blackbio Dx Ltd.,0,3.700000,0,3.760000,0,4.060000,0,4.190000,0,4.020000,0,0,0,3.930000,0,0,0,3.760000,0,0,0,3.570000,0,3.470000,0,3.540000,0,3.270000,0,2.810000,0,3.750000,0,3.880000,0,3.970000,0,3.810000,0,3.860000,0,4.540000,0,5.000000,0,5.620000,0,6.610000,0,7.350000,0,7.790000,0,7.590000,0,7.400000,0,7.080000,0,7.220000,0
3I Infotech Ltd.,0,2264.350000,0,2175.190000,0,1774.690000,0,2487.640000,0,2991.940000,0,2967.200000,0,3199.600000,0,2960.800000,0,2597.110000,0,1941.170000,0,1902.450000,0,814.690000,0,809.200000,0,806.390000,0,805.390000,0,803.030000,0,801.130000,0,806.330000,0,847.730000,0,850.750000,0,855.620000,0,387.710000,0,384.990000,0,416.530000,0,409.800000,0,478.800000,0,295.780000,0,244.910000,0,242.590000,0,225.370000,0
3M India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.020000,0,0,0,285.800000,0,305.540000,0,305.980000,0,283.700000,0,266.240000,0,260.150000,0,307.430000,0,300.800000,0,337.970000,0,350.880000,0,332.450000,0,0,0,0,0
3P Land Holdings Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460000,0,0.420000,0,0.370000,0,0.330000,0,0.310000,0,0.290000,0,0.260000,0,0.250000,0,0.230000,0,0.210000,0,0.190000,0,0.170000,0,0.140000,0
52 Weeks Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.640000,0,1.630000,0,3.410000,0,2.540000,0,3.280000,0,3.550000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63 Moons Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253.080000,0,233.470000,0,272.220000,0,263.810000,0,256.900000,0,258.640000,0,277.060000,0,294.960000,0,284.360000,0,275.780000,0,269.010000,0,261.730000,0,251.450000,0
7Seas Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A B B India Ltd.,0,0,0,0,0,0,1278.800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748.610000,0,0,0,0,0,0,0,0,0,0,0,823.140000,0,0,0,0,0,0,0,0,0,0,0,0
A B Cotspin India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.080000,0,0,0,65.790000,0
A B M International Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.450000,0,1.460000,0,0.720000,0,0.640000,0,0.660000,0,0.620000,0,0.640000,0,0.620000,0,0.600000,0,0.570000,0,0.560000,0,0.560000,0,0,0
A B M Knowledgeware Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.190000,0,51.320000,0,51.430000,0,51.170000,0,51.110000,0,51.070000,0,52.300000,0,52.040000,0,52.310000,0,52.630000,0,52.940000,0,52.910000,0,54.180000,0
