Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.710000,121.250000,111.000000,130.210000,137.840000,136.090000,127.130000,128.260000,64.210000,128.640000,149.750000,140.920000,117.480000,162.280000,161.030000,172.410000,185.910000,187.780000,154.710000,173.280000,190.560000,199.700000,174.890000,212.340000,230.550000,240.180000,214.650000,227.450000,247.160000
3B Blackbio Dx Ltd.,2.700000,9.060000,7.700000,1.950000,3.450000,9.110000,4.580000,4.140000,3.240000,8.930000,5.610000,2.450000,4.050000,9.320000,5.220000,3.340000,2.810000,6.620000,3.150000,6.340000,2.820000,5.550000,4.450000,4.500000,2.640000,6.130000,4.400000,3.000000,4.200000,7.870000,5.630000,5.510000,4.110000,7.840000,5.200000,6.120000,5.630000,9.640000,6.870000,6.740000,52.890000,112.280000,42.690000,18.880000,32.670000,15.220000,14.360000,18.400000,11.690000,17.310000,14.730000,18.110000,14.280000,19.180000,17.670000,23.000000,19.430000,29.150000,25.390000,22.500000,22.230000
3I Infotech Ltd.,637.010000,643.380000,637.750000,651.610000,479.390000,497.700000,350.150000,353.770000,269.920000,339.670000,364.030000,337.750000,300.520000,328.560000,344.110000,334.700000,363.580000,355.470000,319.630000,305.310000,274.590000,292.850000,286.400000,271.740000,255.130000,245.140000,248.000000,255.520000,239.310000,235.080000,237.520000,279.280000,241.980000,273.630000,306.540000,299.600000,280.120000,296.150000,287.340000,157.590000,149.520000,250.800000,157.850000,149.180000,159.860000,175.820000,165.700000,175.630000,179.220000,177.130000,182.300000,190.460000,194.380000,210.280000,212.180000,197.040000,179.750000,177.600000,181.410000,187.000000,170.550000
3M India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683.060000,720.430000,746.000000,736.420000,791.550000,742.850000,804.500000,763.530000,745.380000,673.150000,346.180000,690.000000,741.440000,827.210000,743.870000,840.100000,826.280000,925.590000,943.600000,976.700000,993.030000,1046.040000,1049.660000,1039.520000,1005.640000,1094.550000,1046.570000,0,0,0,0
3P Land Holdings Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470000,0.810000,0.490000,0.070000,0.090000,0.800000,0.280000,0.680000,0.350000,0.340000,0.340000,0.360000,0.370000,0.910000,0.430000,0.430000,0.440000,1.150000,0.480000,0.470000,0.470000,1.320000,0.900000,0.890000,0.890000,1.740000,0.940000,0.910000,0.910000
52 Weeks Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.730000,7.580000,7.210000,12.540000,17.710000,19.390000,23.540000,14.770000,14.200000,18.160000,29.190000,35.710000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63 Moons Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.840000,60.150000,69.350000,62.790000,64.390000,68.480000,40.210000,38.630000,36.240000,42.240000,42.060000,39.690000,38.270000,39.200000,40.500000,42.300000,40.910000,44.320000,93.240000,111.600000,115.070000,158.770000,134.780000,9.680000,11.620000,9.790000,11.780000,13.630000,30.450000
7Seas Entertainment Ltd.,1.750000,2.030000,4.800000,5.050000,5.170000,5.640000,5.970000,6.310000,6.910000,3.430000,1.250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A B B India Ltd.,0,0,0,0,0,0,2202.690000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1725.750000,1745.620000,0,0,0,0,0,0,0,0,0,1974.860000,2097.850000,0,0,0,0,0,0,0,0,0,0,0,0
A B Cotspin India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.530000,76.220000,72.510000,81.360000,59.240000,85.070000,66.690000
