Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.140000,0.910000,0.070000,0.530000,0.480000,1.310000,1.030000,4.780000,1.160000,8.410000,8.100000,8.670000,1.380000,1.410000,1.270000,1.770000,1.600000,1.800000,1.800000,1.420000,2.360000,2.460000,1.310000,1.970000,3.860000,2.000000,1.300000,2.010000,1.690000
3B Blackbio Dx Ltd.,0,0.010000,0,0.020000,0.020000,0.010000,0.020000,0.090000,0.040000,0.010000,0,0.070000,0.060000,0,0,0.060000,0.020000,0.010000,0.010000,0.090000,0.020000,0.010000,0.020000,0.060000,0.050000,0.050000,0.060000,0.130000,0.020000,0.300000,0.070000,0.070000,0.040000,0.250000,0.340000,0.130000,0,0.520000,0.080000,0.800000,0.790000,1.590000,0.670000,0.670000,1.020000,8.060000,0.510000,0.760000,0.400000,2.050000,2.880000,1.190000,2.960000,2.750000,2.470000,4.150000,3.680000,3.430000,3.010000,4.910000,4.310000
3I Infotech Ltd.,5.230000,12.330000,14.930000,15.420000,10.180000,20.090000,0.790000,5.900000,59.670000,161.220000,0,1.450000,39.620000,21.860000,0,28.450000,1.390000,0.100000,0.410000,18.460000,12.860000,14.530000,53.040000,832.890000,8.140000,7.870000,36.170000,11.230000,11.370000,15.180000,8.250000,21.680000,49.150000,55.200000,131.560000,7.020000,3.180000,17.980000,20.770000,46.060000,15.020000,3.240000,2.830000,299.640000,23.480000,9.450000,8.450000,21.040000,40.880000,33.810000,61.000000,9.730000,7.540000,31.540000,17.440000,10.460000,8.620000,22.900000,23.880000,30.500000,5.750000
3M India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.660000,7.910000,9.420000,14.640000,10.020000,2.030000,5.640000,9.770000,13.460000,11.460000,7.080000,6.060000,6.490000,7.550000,8.070000,8.330000,6.060000,8.750000,10.970000,34.020000,11.190000,8.040000,12.840000,17.440000,16.540000,30.180000,21.760000,0,0,0,0
3P Land Holdings Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120000,3.680000,0,0,0,0,1.110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010000,0
52 Weeks Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440000,0.460000,0.450000,0.460000,0.480000,0.480000,0.480000,0.500000,0.570000,0.460000,0.460000,0.460000,0.450000,0.420000,0.050000,0.010000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63 Moons Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.330000,38.720000,42.580000,48.910000,32.690000,81.930000,33.540000,26.160000,24.450000,22.760000,21.320000,18.630000,17.200000,17.330000,16.500000,17.690000,28.610000,19.820000,22.030000,35.270000,29.990000,33.270000,37.750000,74.500000,37.570000,37.210000,37.100000,190.200000,42.180000
7Seas Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0.360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A B B India Ltd.,0,0,0,0,0,0,27.050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.370000,16.410000,0,0,0,0,0,0,0,0,0,330.600000,25.330000,0,0,0,0,0,0,0,0,0,0,0,0
A B Cotspin India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020000,0.910000,0.400000,0.440000,0.170000,1.720000,0.010000
