Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.580000,0,11.670000,0,10.030000,0,11.260000,0,10.820000,0,11.200000,0,19.440000,0,20.850000,0,18.150000,0,17.020000,0,14.630000,0,0,0,19.620000,0
3B Blackbio Dx Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,10.910000,0,13.280000,0,10.910000,0,11.210000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0
3I Infotech Ltd.,0,0,0,21.410000,0,0,0,0.450000,0,3.230000,0,19.510000,0,24.610000,0,25.580000,0,21.380000,0,9.880000,0,9.630000,0,179.150000,0,21.230000,0,21.390000,0,148.540000,0,21.280000,0,21.490000,0,29.090000,0,29.280000,0,23.360000,0,25.850000,0,22.260000,0,31.400000,0,35.100000,0,39.450000,0,33.920000,0,31.280000,0,22.830000,0,23.170000,0,25.160000,0
3M India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.600000,0,0,0,57.980000,0,51.420000,0,53.120000,0,54.870000,0,64.710000,0,70.510000,0,63.700000,0,57.430000,0,54.700000,0,57.400000,0,57.100000,0,0,0,0,0
3P Land Holdings Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52 Weeks Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000,0,0,0,0.100000,0,0.100000,0,1.860000,0,2.140000,0,2.280000,0,1.360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63 Moons Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419.550000,0,443.620000,0,446.850000,0,482.030000,0,394.280000,0,477.750000,0,372.200000,0,370.690000,0,501.490000,0,1090.060000,0,875.660000,0,656.090000,0,507.970000,0
7Seas Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A B B India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.100000,0,0,0,0,0,0,0,0,0,0,0,179.750000,0,0,0,0,0,0,0,0,0,0,0,0
A B Cotspin India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.320000,0,0,0,16.680000,0
A B M International Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.530000,0,2.100000,0,0.060000,0,0.050000,0,0.040000,0,0.070000,0,0.050000,0,0.040000,0,0.090000,0,0.160000,0,0.040000,0,0.040000,0,0,0
A B M Knowledgeware Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.200000,0,3.250000,0,2.820000,0,3.330000,0,4.250000,0,7.930000,0,3.930000,0,3.940000,0,3.600000,0,3.940000,0,4.210000,0,10.460000,0,1.750000,0
A C C Ltd.,0,0,0,0,0,0,56.140000,0,0,0,165.840000,0,231.870000,0,308.240000,0,299.860000,0,360.710000,0,484.680000,0,465.930000,0,445.260000,0,838.990000,0,810.340000,0,1324.060000,0,985.670000,0,937.350000,0,962.540000,0,1009.310000,0,1065.830000,0,1424.210000,0,1418.470000,0,1510.950000,1540.910000,1427.060000,0,1722.820000,1914.560000,0,1699.930000,0,1604.550000,0,1675.520000,0,2607.570000,0
A C S Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370000,0,0,0,3.180000,0,6.000000,0,2.870000,0,2.710000,0,21.890000,0
A D F Foods Ltd.,0,0,0,0.090000,0,0,0,5.000000,0,0,0,4.500000,0,4.500000,0,0.060000,0,0.080000,0,0,0,0,0,0.150000,0,0.300000,0,3.110000,0,2.730000,0,2.090000,0,2.060000,0,3.730000,0,25.040000,0,1.280000,0,0.340000,0,2.090000,0,1.910000,0,3.100000,0,11.900000,0,2.860000,0,6.790000,0,4.660000,0,5.010000,0,11.720000,0
A F Enterprises Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050000,0,0.130000,0,0.150000,0,0,0,0.620000,0,0.830000,0,0.260000,0,0.360000,0,0,0
A G I Greenpac Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.480000,0,64.350000,0
A G Ventures Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.120000,0,27.720000,0,26.890000,0,28.440000,0,15.890000,0,9.880000,0,11.930000,0,9.340000,0,10.150000,0,10.600000,0,6.810000,0,7.230000,0,1.280000,0
A I A Engineering Ltd.,0,0,0,4.870000,0,0,0,6.190000,0,4.180000,0,3.730000,0,2.230000,0,0.980000,0,1.330000,0,4.240000,0,4.640000,0,24.370000,0,18.740000,0,45.090000,0,0,0,53.540000,0,50.630000,0,31.650000,0,55.380000,0,53.140000,0,47.060000,0,37.530000,0,52.610000,0,360.210000,0,103.720000,0,36.490000,0,38.500000,0,57.030000,0,46.880000,0,38.750000,0
A I Champdany Inds. Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700000,0,0.560000,0,4.800000,0,0.000000,0,5.650000,0,5.400000,0,5.460000,0,5.420000,0,6.140000,0,0,0,0,0,0,0,0,0
A J R Infra & Tolling Ltd.,0,0,0,0.800000,0,0,0,1.390000,0,1.520000,0,15.330000,0,5.900000,0,0,10.950000,83.390000,0,83.390000,0,83.620000,0,26.090000,0,0,0,0,0,0,0,0,0,0,0,1099.710000,0,1128.500000,0,970.430000,0,971.770000,0,981.480000,0,900.720000,0,873.170000,0,93.970000,0,94.170000,0,95.350000,0,100.520000,0,0,0,29.570000,0
A K Capital Services Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A M J Land Holdings Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040000,0,0.050000,0,0.390000,0,0.060000,0,0.180000,0,0.090000,0,0.320000,0,0.330000,0,0.450000,0,0.450000,0,0.320000,0,0.110000,0,0.090000,0
A N S Inds. Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A P L Apollo Tubes Ltd.,0,0,0,0,0,0,0,0,0,3.580000,0,5.660000,0,14.260000,0,11.730000,0,13.390000,0,11.730000,0,0.030000,0,0.070000,0,0,0,133.450000,0,107.640000,0,109.890000,0,133.560000,0,173.270000,0,154.720000,0,84.530000,0,98.860000,0,149.220000,0,190.730000,0,142.590000,0,203.830000,0,236.560000,0,255.990000,0,248.460000,0,323.290000,0,269.020000,0
A S I Industries Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000,0,0,0,1.940000,0,4.000000,0,3.990000,0,5.520000,0,56.430000,0,97.280000,0,5.630000,0,6.090000,0,6.110000,0,7.380000,0,7.200000,0,12.330000,0,0,0,0,0,0,0,0,0,0,0
