Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.640000,17.640000,17.640000,17.640000,17.640000,17.640000,17.640000,17.640000,17.640000,17.640000,17.640000,17.640000,17.640000,17.640000,17.640000,17.640000,17.640000,17.640000,17.640000,17.640000,17.640000,17.640000,17.640000,17.640000,17.640000,17.640000,17.640000,17.640000
3B Blackbio Dx Ltd.,5.900000,5.940000,5.960000,6.300000,5.980000,6.320000,6.490000,6.490000,6.410000,6.490000,6.410000,6.410000,6.410000,6.410000,6.410000,6.410000,6.410000,6.410000,6.410000,6.410000,6.410000,6.410000,6.410000,6.410000,6.410000,6.410000,6.410000,6.410000,6.410000,6.410000,6.410000,6.410000,6.410000,6.410000,6.410000,6.410000,7.510000,7.510000,7.510000,7.510000,7.510000,7.510000,7.510000,7.510000,7.510000,7.510000,7.510000,7.510000,7.510000,7.510000,7.510000,7.510000,7.510000,8.570000,8.570000,8.570000,8.570000,8.570000,8.570000,8.570000,8.570000
3I Infotech Ltd.,191.820000,191.890000,191.900000,191.990000,191.990000,191.990000,191.990000,191.990000,434.260000,497.940000,535.130000,571.550000,571.940000,571.940000,571.940000,572.640000,576.340000,580.680000,586.120000,603.750000,612.430000,0,636.190000,640.800000,640.800000,898.880000,1047.450000,1183.650000,1286.000000,1333.090000,1334.150000,1615.360000,1615.550000,1615.910000,1616.640000,1616.640000,1616.640000,1616.640000,1616.640000,1616.650000,1616.650000,1616.650000,1616.650000,1616.650000,1616.650000,161.670000,165.440000,167.940000,168.380000,168.390000,168.390000,168.470000,168.470000,168.640000,168.770000,169.230000,169.240000,169.400000,169.550000,169.630000,169.630000
3M India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.270000,11.270000,11.270000,11.270000,11.270000,11.270000,11.270000,11.270000,11.270000,11.270000,11.270000,11.270000,11.270000,11.270000,11.270000,11.270000,11.270000,11.270000,11.270000,11.270000,11.270000,11.270000,11.270000,11.270000,11.270000,11.270000,11.270000,0,0,0,0
3P Land Holdings Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.600000,3.600000,3.600000,3.600000,3.600000,3.600000,3.600000,3.600000,3.600000,3.600000,3.600000,3.600000,3.600000,3.600000,3.600000,3.600000,3.600000,3.600000,3.600000,3.600000,3.600000,3.600000,3.600000,3.600000,3.600000,3.600000,3.600000,3.600000
52 Weeks Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.880000,34.880000,34.880000,34.880000,34.880000,34.880000,34.880000,34.880000,34.880000,34.880000,34.880000,34.880000,34.880000,34.880000,34.880000,34.880000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63 Moons Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.220000,9.220000,9.220000,9.220000,9.220000,9.220000,9.220000,9.220000,9.220000,9.220000,9.220000,9.220000,9.220000,9.220000,9.220000,9.220000,9.220000,9.120000,9.220000,9.220000,9.220000,9.220000,9.220000,9.220000,9.220000,9.220000,9.220000,9.220000,9.220000
7Seas Entertainment Ltd.,5.570000,5.870000,6.000000,6.200000,6.200000,6.200000,6.390000,6.490000,6.490000,6.490000,6.490000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A B B India Ltd.,0,0,0,0,0,0,42.380000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.380000,0,0,0,0,0,0,0,0,0,0,42.380000,42.380000,0,0,0,0,0,0,0,0,0,0,0,0
A B Cotspin India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
