Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.400000,11.540000,11.490000,12.230000,12.580000,13.080000,11.610000,11.400000,7.230000,8.780000,10.410000,10.660000,12.720000,13.350000,11.460000,11.760000,14.710000,15.390000,14.510000,14.410000,15.550000,16.460000,15.390000,16.210000,19.220000,18.960000,18.960000,18.550000,21.380000
3B Blackbio Dx Ltd.,0.200000,0.310000,0.210000,0.230000,0.300000,0.340000,0.280000,0.480000,0.310000,0.330000,0.510000,0.430000,0.330000,0.370000,0.400000,0.910000,0.330000,0.720000,0.510000,0.380000,0.420000,0.620000,0.530000,0.400000,0.460000,0.600000,0.520000,0.440000,0.500000,0.610000,0.630000,0.360000,0.610000,0.720000,0.640000,0.560000,0.720000,0.770000,0.860000,0.500000,1.430000,1.520000,0.760000,0.960000,0.810000,0.830000,0.990000,0.930000,1.010000,1.110000,1.380000,1.530000,1.440000,1.870000,1.580000,1.610000,1.620000,2.080000,1.710000,1.910000,1.770000
3I Infotech Ltd.,312.260000,306.490000,312.950000,297.200000,228.660000,236.470000,234.810000,249.610000,241.580000,155.050000,178.240000,186.340000,196.110000,208.570000,220.860000,215.880000,210.220000,191.310000,175.530000,145.880000,209.030000,163.340000,159.390000,156.090000,155.670000,150.600000,127.420000,139.710000,123.900000,138.360000,130.840000,135.310000,138.560000,154.190000,154.430000,157.170000,158.860000,165.170000,168.040000,119.380000,119.990000,163.040000,121.600000,138.650000,123.400000,138.420000,140.230000,137.780000,140.180000,146.230000,137.350000,134.480000,136.260000,148.600000,148.650000,147.520000,139.330000,134.300000,135.970000,121.180000,121.430000
3M India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.980000,81.440000,76.040000,96.160000,71.260000,86.750000,90.100000,78.420000,81.980000,78.090000,91.760000,80.260000,102.440000,95.440000,98.020000,98.520000,102.690000,88.960000,103.190000,102.550000,97.230000,97.370000,108.580000,95.220000,95.820000,92.230000,106.600000,0,0,0,0
3P Land Holdings Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060000,0.040000,0.040000,0.030000,0.050000,0.030000,0.030000,0.030000,0.030000,0.030000,0.030000,0.030000,0.030000,0.030000,0.040000,0.030000,0.030000,0.030000,0.030000,0.030000,0.030000,0.120000,0.280000,0.320000,0.290000,0.360000,0.330000,0.350000,0.330000
52 Weeks Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070000,0.060000,0.060000,0.030000,0.070000,0.230000,0.250000,0.230000,0.250000,0.340000,0.360000,0.350000,0.330000,0.360000,0.360000,0.400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63 Moons Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.630000,36.430000,37.670000,36.740000,38.780000,39.030000,34.720000,32.020000,30.040000,30.700000,27.810000,27.560000,31.440000,32.380000,31.050000,35.290000,38.540000,40.500000,42.660000,43.240000,45.250000,49.070000,32.890000,31.730000,30.630000,29.270000,30.000000,30.200000,38.670000
7Seas Entertainment Ltd.,0.240000,0.150000,0.310000,0.300000,0.310000,0.310000,0.340000,0.330000,0.330000,0.330000,0.290000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A B B India Ltd.,0,0,0,0,0,0,155.050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.140000,139.490000,0,0,0,0,0,0,0,0,0,176.080000,149.400000,0,0,0,0,0,0,0,0,0,0,0,0
A B Cotspin India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.750000,2.550000,2.190000,2.290000,2.350000,2.600000,2.210000
