Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.450000,0,181.540000,0,187.800000,0,197.130000,0,214.460000,0,225.350000,0,251.490000,0,276.800000,0,293.580000,0,321.570000,0,352.950000,0,0,0,429.360000,0
3B Blackbio Dx Ltd.,0,8.460000,0,8.410000,0,9.050000,0,9.040000,0,9.040000,0,0,0,10.240000,0,0,0,10.120000,0,0,0,10.300000,0,10.420000,0,11.170000,0,11.210000,0,13.020000,0,18.380000,0,20.750000,0,22.500000,0,30.190000,0,32.110000,0,108.440000,0,132.050000,0,143.620000,0,153.020000,0,160.630000,0,171.220000,0,208.350000,0,223.050000,0,246.640000,0,268.420000,0
3I Infotech Ltd.,0,1256.740000,0,1290.160000,0,1356.270000,0,818.510000,0,922.690000,0,914.580000,0,947.450000,0,595.730000,0,246.070000,0,-384.250000,0,-551.540000,0,111.280000,0,129.240000,0,177.450000,0,205.760000,0,251.770000,0,267.730000,0,323.210000,0,331.930000,0,391.470000,0,417.720000,0,752.890000,0,714.060000,0,703.630000,0,664.210000,0,642.820000,0,425.480000,0,293.440000,0,280.380000,0,306.880000,0
3M India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066.720000,0,0,0,1432.840000,0,1622.930000,0,1750.880000,0,1781.320000,0,1910.330000,0,2003.190000,0,2183.580000,0,2374.710000,0,1677.480000,0,1840.360000,0,2146.910000,0,0,0,0,0
3P Land Holdings Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.480000,0,37.850000,0,29.300000,0,33.970000,0,46.620000,0,68.910000,0,66.740000,0,68.270000,0,66.060000,0,85.120000,0,98.710000,0,160.070000,0,139.700000,0
52 Weeks Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.940000,0,0,0,16.660000,0,12.920000,0,20.350000,0,21.300000,0,23.280000,0,21.240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63 Moons Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3177.590000,0,3193.720000,0,3131.610000,0,3123.070000,0,3090.860000,0,3002.720000,0,3096.430000,0,3099.490000,0,3115.010000,0,3244.180000,0,3347.370000,0,3318.220000,0,3414.340000,0
7Seas Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A B B India Ltd.,0,0,0,0,0,0,2536.430000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4145.890000,0,0,0,0,0,0,0,0,0,0,0,4171.590000,0,0,0,0,0,0,0,0,0,0,0,0
A B Cotspin India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.470000,0,0,0,110.760000,0
A B M International Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.680000,0,17.510000,0,12.790000,0,13.460000,0,22.930000,0,23.740000,0,24.520000,0,17.470000,0,18.200000,0,17.140000,0,14.860000,0,17.310000,0,0,0
A B M Knowledgeware Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.920000,0,160.990000,0,167.670000,0,179.430000,0,187.910000,0,194.630000,0,199.900000,0,203.980000,0,210.680000,0,214.800000,0,222.550000,0,227.220000,0,234.580000,0
A C C Ltd.,6396.750000,0,6283.150000,0,6730.000000,0,6979.050000,0,7305.150000,0,7372.430000,0,7828.170000,0,7813.380000,0,8126.970000,0,8217.680000,0,8339.220000,0,8421.140000,0,8638.900000,0,8813.430000,0,9217.250000,0,9355.850000,0,9598.420000,0,10531.900000,0,10991.680000,0,11543.770000,0,11872.420000,0,12699.130000,0,13581.820000,0,14308.830000,14308.830000,13860.570000,0,13886.040000,14138.470000,0,14819.030000,0,16328.220000,0,16720.800000,0,18554.840000,0
A C S Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31.900000,0,0,0,82.150000,0,84.610000,0,94.120000,0,96.410000,0,98.920000,0
A D F Foods Ltd.,0,107.800000,0,111.650000,0,116.000000,0,116.010000,0,0,0,149.120000,0,144.250000,0,148.000000,0,152.890000,0,152.970000,0,153.610000,0,158.740000,0,156.440000,0,166.990000,0,167.400000,0,174.410000,0,159.740000,0,171.820000,0,190.530000,0,204.420000,0,227.170000,0,273.520000,0,298.160000,0,342.960000,0,383.200000,0,419.240000,0,440.120000,0,441.140000,0,463.160000,0,492.660000,0
A F Enterprises Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.750000,0,12.320000,0,18.500000,0,0,0,33.150000,0,32.940000,0,33.340000,0,37.690000,0,0,0
A G I Greenpac Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1910.900000,0,2097.730000,0
A G Ventures Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.600000,0,438.310000,0,464.630000,0,481.250000,0,533.210000,0,550.140000,0,560.890000,0,585.970000,0,602.330000,0,621.130000,0,637.320000,0,263.600000,0,266.340000,0
A I A Engineering Ltd.,0,993.700000,0,1052.120000,0,1159.570000,0,1235.510000,0,1339.530000,0,1417.800000,0,1599.670000,0,1738.840000,0,1944.480000,0,2083.600000,0,2271.910000,0,2322.610000,0,2534.630000,0,2717.250000,0,0,0,3009.300000,0,3254.170000,0,3513.700000,0,3692.220000,0,3701.280000,0,3957.990000,0,4244.310000,0,4440.600000,0,4754.960000,0,5094.740000,0,5691.320000,0,6130.810000,0,6657.740000,0,6399.610000,0,6926.990000,0
A I Champdany Inds. Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.270000,0,79.250000,0,78.390000,0,73.470000,0,68.670000,0,62.580000,0,69.740000,0,64.690000,0,78.030000,0,0,0,0,0,0,0,0,0
A J R Infra & Tolling Ltd.,0,697.040000,0,691.390000,0,791.710000,0,744.990000,0,762.350000,0,712.720000,0,697.510000,0,0,669.470000,951.210000,0,951.210000,0,1018.010000,0,1060.880000,0,0,0,0,0,0,0,0,0,0,0,354.370000,0,237.530000,0,421.370000,0,304.570000,0,188.140000,0,81.550000,0,-735.180000,0,-2140.930000,0,-2338.750000,0,-2476.720000,0,-2526.680000,0,0,0,-1965.630000,0
A K Capital Services Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585.060000,0,604.360000,0,614.670000,0,643.750000,0,683.850000,0,722.080000,0,759.830000,0,797.650000,0,839.380000,0,876.540000,0,919.070000,0,944.220000,0,970.460000,0
A M J Land Holdings Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.940000,0,101.560000,0,102.060000,0,106.580000,0,114.570000,0,134.940000,0,141.250000,0,145.920000,0,145.690000,0,164.070000,0,178.950000,0,228.790000,0,227.160000,0
A N S Inds. Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A P L Apollo Tubes Ltd.,0,236.640000,0,0,0,258.070000,0,0,0,340.270000,0,367.750000,0,411.860000,0,425.210000,0,464.440000,0,495.100000,0,514.240000,0,567.550000,0,0,0,703.360000,0,770.480000,0,837.850000,0,875.340000,0,964.060000,0,1142.140000,0,1356.150000,0,1432.170000,0,1694.660000,0,1975.000000,0,2464.010000,0,2628.130000,0,3005.610000,0,3280.340000,0,3604.620000,0,3848.720000,0,4208.720000,0
A S I Industries Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.320000,0,0,0,187.460000,0,181.510000,0,194.210000,0,198.600000,0,219.860000,0,225.230000,0,236.100000,0,242.830000,0,255.810000,0,266.690000,0,330.600000,0,334.790000,0,349.490000,0,348.690000,0,292.120000,0,290.770000,0,0,0,0,0,0,0,0,0,0,0
