Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.840000,0,67.160000,0,65.360000,0,63.010000,0,79.280000,0,89.050000,0,93.420000,0,91.420000,0,85.020000,0,87.330000,0,105.230000,0,0,0,132.670000,0
3B Blackbio Dx Ltd.,0,0,0,2.400000,0,0,0,4.180000,0,4.220000,0,0,0,4.440000,0,0,0,4.530000,0,0,0,4.810000,0,5.070000,0,4.910000,0,5.750000,0,5.220000,0,3.490000,0,4.110000,0,4.050000,0,1.670000,0,2.060000,0,1.500000,0,0.990000,0,0,0,1.690000,0,1.230000,0,1.120000,0,0.610000,0,0.060000,0,0.050000,0,0,0
3I Infotech Ltd.,0,0,0,548.970000,0,0,0,119.660000,0,285.480000,0,113.120000,0,150.090000,0,285.770000,0,224.070000,0,164.670000,0,126.010000,0,46.490000,0,36.260000,0,23.790000,0,22.730000,0,21.910000,0,32.860000,0,31.700000,0,4.850000,0,6.500000,0,9.450000,0,8.480000,0,6.650000,0,67.870000,0,37.720000,0,52.950000,0,58.340000,0,56.920000,0,44.500000,0,40.840000,0
3M India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.470000,0,24.490000,0,16.410000,0,12.690000,0,17.100000,0,17.730000,0,13.480000,0,13.160000,0,11.290000,0,9.410000,0,0,0,0,0
3P Land Holdings Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52 Weeks Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.350000,0,0,0,2.760000,0,6.350000,0,12.260000,0,16.700000,0,19.290000,0,24.830000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63 Moons Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.770000,0,0,0,0,0,0,0,0.110000,0,0.110000,0,0.150000,0,0.170000,0,1.610000,0,2.020000,0,2.510000,0,3.240000,0,1.220000,0
7Seas Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A B B India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.420000,0,0,0,0,0,0,0,0,0,0,0,0
A B Cotspin India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.670000,0,0,0,95.630000,0
A B M International Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800000,0,0,0,0,0,0,0,6.220000,0,10.050000,0,21.630000,0,0,0
A B M Knowledgeware Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A C C Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.500000,0,0,0,24.210000,24.210000,24.000000,0,27.540000,27.360000,0,124.900000,0,131.090000,0,139.670000,0,148.880000,0
