Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.940000,0,3.670000,0,4.240000,0,1.370000,0,0.270000,0,0.230000,0,1.120000,0,0.400000,0,0.370000,0,0.550000,0,0.250000,0,0,0,0.200000,0
3B Blackbio Dx Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,2.100000,0,0,0,0.050000,0,0,0,2.960000,0,3.400000,0,3.370000,0,0,0,0,0,0.010000,0,0.350000,0,0.050000,0,0.270000,0,0.060000,0,0.110000,0,0.100000,0,0.070000,0,0.080000,0,0,0,0.090000,0,0,0,0,0,0.130000,0,0,0
3I Infotech Ltd.,0,0,0,212.630000,0,0,0,178.040000,0,131.680000,0,150.190000,0,46.410000,0,85.130000,0,96.430000,0,75.550000,0,70.220000,0,0.030000,0,0.040000,0,0.090000,0,0.110000,0,0.220000,0,0.130000,0,0.090000,0,0.090000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.490000,0,9.110000,0,25.810000,0,17.030000,0
3M India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.170000,0,0,0,4.730000,0,4.460000,0,1.500000,0,1.310000,0,6.780000,0,0.090000,0,0.320000,0,0.360000,0,0.380000,0,0.360000,0,0.440000,0,0,0,0,0
3P Land Holdings Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52 Weeks Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.200000,0,0,0,13.830000,0,10.870000,0,4.070000,0,0,0,22.880000,0,24.410000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63 Moons Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.900000,0,6.760000,0,24.640000,0,11.500000,0,19.830000,0,12.190000,0,22.850000,0,14.490000,0,37.750000,0,3.920000,0,59.500000,0,11.440000,0,26.640000,0
7Seas Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A B B India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.520000,0,0,0,0,0,0,0,0,0,0,0,3.710000,0,0,0,0,0,0,0,0,0,0,0,0
A B Cotspin India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.660000,0,0,0,0,0
A B M International Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020000,0,0,0,0.070000,0,0.810000,0,0.040000,0,0.010000,0,0.080000,0,0.170000,0,0.150000,0,0.260000,0,0.190000,0,0.260000,0,0,0
A B M Knowledgeware Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.670000,0,4.490000,0,3.560000,0,2.450000,0,1.300000,0,2.210000,0,2.910000,0,3.530000,0,0.960000,0,3.920000,0,2.750000,0,2.970000,0,0.940000,0
A C C Ltd.,0,0,0,0,0,0,279.430000,0,366.970000,0,321.890000,0,363.600000,0,332.980000,0,412.520000,0,385.770000,0,342.290000,0,352.820000,0,477.780000,0,29.420000,0,67.060000,0,41.400000,0,45.340000,0,77.300000,0,34.770000,0,29.020000,0,42.920000,0,77.120000,0,60.210000,0,6.600000,6.600000,5.780000,0,6.120000,5.760000,0,415.850000,0,3.600000,0,5.800000,0,5.330000,0
A C S Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.750000,0,0.470000,0,1.020000,0,0.970000,0
A D F Foods Ltd.,0,0,0,5.550000,0,0,0,6.680000,0,0,0,19.940000,0,17.210000,0,18.560000,0,22.270000,0,14.750000,0,12.860000,0,13.180000,0,17.550000,0,0.230000,0,0.240000,0,0.210000,0,0.190000,0,0.140000,0,0.190000,0,0.110000,0,0.100000,0,0.450000,0,1.340000,0,0.390000,0,0.220000,0,0.140000,0,0.120000,0,0.100000,0,0.110000,0,0.020000,0
A F Enterprises Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.550000,0,0.080000,0,0.220000,0,0,0,0.040000,0,0.040000,0,0,0,0,0,0,0
A G I Greenpac Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650000,0,0.450000,0
A G Ventures Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.820000,0,3.520000,0,2.780000,0,1.820000,0,1.280000,0,2.070000,0,1.990000,0,2.190000,0,1.560000,0,2.160000,0,0.850000,0,0.140000,0,1.450000,0
A I A Engineering Ltd.,0,0,0,87.110000,0,0,0,125.840000,0,166.630000,0,198.370000,0,184.980000,0,190.880000,0,183.800000,0,228.650000,0,168.500000,0,1.880000,0,0.900000,0,4.090000,0,0,0,4.510000,0,4.780000,0,3.680000,0,2.860000,0,4.330000,0,3.720000,0,2.000000,0,1.650000,0,1.950000,0,2.000000,0,2.200000,0,2.010000,0,2.050000,0,2.120000,0,130.110000,0
A I Champdany Inds. Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.330000,0,3.290000,0,3.280000,0,3.280000,0,3.540000,0,1.420000,0,3.660000,0,3.660000,0,3.940000,0,0,0,0,0,0,0,0,0
A J R Infra & Tolling Ltd.,0,0,0,13.750000,0,0,0,15.090000,0,55.520000,0,33.550000,0,35.560000,0,0,59.800000,60.100000,0,60.100000,0,77.270000,0,41.810000,0,0,0,0,0,0,0,0,0,0,0,4.730000,0,4.730000,0,4.720000,0,4.720000,0,3.470000,0,5.260000,0,19.500000,0,3.470000,0,0,0,0,0,0,0,0,0,2.580000,0
A K Capital Services Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A M J Land Holdings Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.020000,0,21.890000,0,24.670000,0,25.160000,0,28.020000,0,27.900000,0,9.110000,0,1.030000,0,1.660000,0,0.870000,0,2.360000,0,1.050000,0,1.610000,0
A N S Inds. Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A P L Apollo Tubes Ltd.,0,0,0,0,0,0,0,0,0,45.920000,0,61.050000,0,50.730000,0,68.340000,0,42.330000,0,73.020000,0,83.420000,0,69.180000,0,0,0,0.770000,0,1.830000,0,1.160000,0,1.390000,0,1.320000,0,1.510000,0,1.290000,0,1.510000,0,1.290000,0,1.680000,0,1.290000,0,1.840000,0,1.340000,0,1.430000,0,3.630000,0,3.850000,0,4.370000,0
A S I Industries Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.040000,0,0,0,10.760000,0,11.190000,0,19.840000,0,29.280000,0,24.020000,0,30.190000,0,16.580000,0,14.370000,0,0.160000,0,0.120000,0,0.140000,0,0.120000,0,0.140000,0,35.160000,0,15.100000,0,47.770000,0,0,0,0,0,0,0,0,0,0,0
A S K Automotive Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.690000,0,2.800000,0,3.190000,0,3.440000,0,3.340000,0
A S M Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.710000,0,28.780000,0,0,0,6.420000,0,0.030000,0,5.640000,0,0.060000,0,0.020000,0,0.610000,0,0.640000,0,0.640000,0,0.600000,0,0.710000,0,1.370000,0,0.390000,0,0.340000,0,0.290000,0,0.050000,0,0.030000,0
A V T Natural Products Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120000,0,2.110000,0,0.220000,0,0.580000,0,0.210000,0,0.940000,0,0.270000,0,0.630000,0,0.260000,0,0.650000,0,0.880000,0,5.890000,0,0.910000,0
A W L Agri Business Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.060000,0,0,0,43.480000,0,43.350000,0,2.680000,0,37.240000,0,52.080000,0,17.340000,0,3.510000,0
A Y M Syntex Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.960000,0,0.530000,0,0.950000,0,0.690000,0,0.710000,0,0.750000,0
Aadhar Housing Finance Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aarcon Facilities Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aartech Solonics Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170000,0
Aarti Drugs Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.900000,0,19.240000,0,24.120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320000,0,0,0,0.240000,0,2.220000,0,10.760000,0
Aarti Industries Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.660000,0,141.960000,0,135.660000,0,130.620000,0,187.480000,0,260.260000,0,55.000000,0,438.950000,0,88.000000,0,62.000000,0,79.000000,0,31.000000,0,20.000000,0
Aarvee Denims & Exports Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aarvi Encon Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310000,0,0,0,0.280000,0.360000,0.370000,0.300000,0.330000,0.420000,0.380000,0.380000,0.360000,0.380000,0.540000,0,0.850000,0.950000,0.890000,1.890000,1.890000,1.950000,1.970000,0,2.070000,0
Aayush Wellness Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aban Offshore Ltd.,0,0,0,261.310000,0,0,0,133.210000,0,167.390000,0,178.130000,0,117.890000,0,178.340000,0,257.000000,0,152.380000,0,155.970000,0,62.000000,0,0,0,44.460000,0,63.460000,0,68.780000,0,212.340000,0,177.070000,0,119.200000,0,63.610000,0,86.750000,0,134.170000,0,62.530000,0,58.750000,0,68.170000,0,115.970000,0,130.320000,0,43.330000,0,51.250000,0,55.450000,0
Abans Enterprises Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020000,0,0,0,0,0,30.510000,0,0,0,51.190000,0,0.300000,0,0.030000,0,0.060000,0,0,0,0,0,0,0
Abate A S Inds. Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
