Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.030000,32.810000,33.670000,35.820000,34.260000,34.720000,31.530000,34.500000,23.430000,33.780000,36.660000,39.490000,32.120000,39.720000,45.420000,49.840000,51.390000,53.690000,43.770000,43.730000,45.800000,47.970000,44.400000,54.670000,57.070000,63.170000,58.440000,56.000000,64.420000
3B Blackbio Dx Ltd.,0.780000,1.280000,2.100000,0.210000,0.620000,1.670000,1.050000,0.890000,0.640000,1.580000,1.290000,1.070000,0.590000,1.590000,0.510000,0.770000,0.540000,0.750000,1.430000,1.040000,0.650000,0.750000,1.430000,0.750000,0.590000,0.990000,0.580000,1.020000,0.500000,0.860000,0.870000,1.030000,0.470000,1.060000,0.660000,0.550000,0.570000,1.390000,0.770000,0.730000,4.400000,11.310000,3.440000,1.370000,2.520000,1.360000,1.660000,2.820000,1.850000,1.700000,2.020000,4.200000,2.460000,2.780000,2.240000,5.330000,2.200000,3.270000,2.930000,5.010000,3.060000
3I Infotech Ltd.,200.790000,207.320000,196.240000,222.430000,139.510000,152.260000,112.940000,111.610000,83.070000,144.280000,138.730000,98.750000,87.310000,89.040000,91.960000,107.300000,126.050000,123.090000,99.540000,103.780000,32.970000,89.910000,88.510000,73.530000,66.030000,72.300000,89.030000,79.040000,95.280000,64.950000,74.650000,107.700000,85.500000,94.870000,123.060000,103.870000,100.400000,95.670000,85.370000,39.020000,34.540000,55.940000,36.550000,86.270000,35.900000,56.670000,35.030000,34.480000,45.300000,49.950000,51.200000,62.880000,62.290000,71.960000,72.340000,67.220000,40.510000,40.010000,37.840000,55.680000,47.760000
3M India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.660000,119.040000,125.060000,153.490000,135.200000,142.170000,122.270000,115.820000,119.420000,112.430000,86.200000,78.010000,104.170000,108.320000,104.780000,126.260000,119.140000,113.750000,126.530000,128.810000,120.380000,118.710000,130.590000,129.930000,135.630000,136.090000,132.020000,0,0,0,0
3P Land Holdings Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060000,0.140000,0.080000,0.100000,0.090000,0.550000,0.170000,0.270000,0.210000,0.310000,0.280000,0.250000,0.160000,0.070000,0.050000,0.070000,0.070000,0.090000,0.060000,0.060000,0.070000,0.110000,0.080000,0.070000,0.080000,0.080000,0.090000,0.110000,0.080000
52 Weeks Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280000,0.190000,0.190000,0.220000,2.610000,0.530000,11.630000,11.800000,15.450000,1.510000,1.230000,16.410000,0,0.610000,0.930000,0.840000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63 Moons Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.420000,76.170000,68.550000,102.470000,64.480000,67.670000,48.210000,36.580000,30.840000,30.320000,31.290000,35.430000,32.680000,31.250000,40.220000,42.590000,40.960000,35.760000,36.660000,48.650000,42.330000,42.520000,39.750000,46.390000,36.400000,40.220000,43.170000,164.470000,47.570000
7Seas Entertainment Ltd.,1.150000,1.460000,3.890000,3.700000,3.380000,3.590000,3.680000,4.030000,4.200000,1.970000,1.690000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A B B India Ltd.,0,0,0,0,0,0,302.550000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392.350000,409.530000,0,0,0,0,0,0,0,0,0,363.730000,460.000000,0,0,0,0,0,0,0,0,0,0,0,0
A B Cotspin India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.860000,7.060000,5.610000,5.620000,5.830000,7.130000,6.470000
A B M International Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000,0.100000,0.080000,0.390000,0.170000,0.090000,0.070000,0.170000,0.100000,0.130000,2.210000,0,0.260000,0.210000,2.370000,0.280000,0.210000,0.170000,0.130000,0.150000,0.180000,0.050000,0.090000,0.100000,0.210000,0.140000,0.100000,0.070000,0.290000
A B M Knowledgeware Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.050000,5.900000,2.650000,4.260000,6.430000,5.790000,6.870000,8.860000,2.760000,9.420000,9.000000,12.370000,10.880000,10.950000,13.250000,10.490000,6.100000,6.790000,7.960000,5.910000,6.200000,6.690000,6.840000,7.660000,6.600000,6.630000,8.170000,7.450000,6.280000
A C C Ltd.,1137.230000,1056.860000,1298.940000,1376.670000,1545.180000,1546.490000,1633.610000,1774.540000,1742.210000,1605.880000,1664.040000,1890.150000,1735.760000,1632.520000,1822.720000,1893.330000,1910.430000,1832.170000,1870.910000,1872.900000,1976.400000,1915.000000,1875.150000,1866.330000,1755.870000,1716.280000,1814.410000,2065.450000,2196.110000,2003.670000,2241.880000,2367.770000,2417.460000,2304.330000,2447.910000,2475.820000,2505.870000,2343.220000,2334.860000,2230.750000,1400.630000,1980.150000,2336.700000,2479.390000,2304.030000,2195.560000,2471.940000,2698.190000,2986.900000,2910.580000,2667.080000,2532.580000,2735.360000,2334.040000,2490.320000,2588.770000,2605.060000,2205.140000,2420.350000,2599.370000,2642.860000
A C S Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010000,0,0,2.150000,49.760000,11.420000,16.260000,22.750000,27.170000,15.810000,32.620000,36.270000,34.330000,28.780000
A D F Foods Ltd.,7.030000,7.980000,11.310000,10.550000,11.760000,14.690000,16.350000,7.880000,14.770000,16.080000,15.550000,16.180000,16.350000,20.810000,16.540000,20.840000,16.430000,14.160000,15.490000,17.340000,15.210000,17.140000,14.030000,15.140000,10.820000,14.100000,12.850000,15.180000,12.130000,12.040000,12.080000,13.030000,12.630000,13.700000,13.720000,15.400000,13.970000,14.730000,18.830000,19.450000,11.830000,18.110000,16.650000,20.070000,20.230000,28.420000,38.110000,35.790000,32.030000,31.060000,31.240000,31.190000,29.280000,32.710000,30.990000,51.470000,42.110000,44.380000,49.370000,56.640000,43.720000
A F Enterprises Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.400000,0.670000,0.620000,0.610000,1.670000,1.920000,0.090000,0.920000,1.870000,0.810000,0.250000,0.480000,3.030000,0.320000,0.420000,0.470000,0,0
