Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.04928637954037,0.0,45.01210345266912,0.0,49.7338492203072,0.0,47.95850805561687,0.0,50.291236431029915,0.0,52.554712798556935,0.0,52.73962001315636,0.0,52.075565976092555,0.0,52.328845602979094,0.0,55.58299959422028,0.0,55.68653354334977,0.0,0.0,0.0,51.24225313317725,0.0
3B Blackbio Dx Ltd.,0.0,79.2017987633502,0.0,80.06362672322376,0.0,78.9309807991697,0.0,81.02355072463767,0.0,81.55117026158788,0.0,0.0,0.0,82.2972972972973,0.0,0.0,0.0,84.72165786265747,0.0,0.0,0.0,82.36166007905138,0.0,83.17167798254123,0.0,84.21756576014266,0.0,87.1411718442784,0.0,87.35716918540362,0.0,87.53324468085107,0.0,88.21027043451838,0.0,82.89473684210525,0.0,85.40197461212973,0.0,86.2538427755819,0.0,95.72923076923078,0.0,46.97402906838218,0.0,38.63250186909536,0.0,28.65435356200528,0.0,31.850414771206854,0.0,37.38005567381693,0.0,37.91219085685735,0.0,33.76754878082154,0.0,32.16758830269516,0.0,29.243634272061588,0.0
3I Infotech Ltd.,0.0,32.48541319361753,0.0,34.352763675658046,0.0,39.989748437302374,0.0,27.76579396698919,0.0,10.811641909938615,0.0,11.676947103010843,0.0,12.274963029640585,0.0,11.774874418577626,0.0,10.818496538081108,0.0,13.181707761447834,0.0,12.89371826284578,0.0,24.5658964072654,0.0,28.724556084885222,0.0,33.49449066786597,0.0,29.11634056840635,0.0,32.81215627164216,0.0,37.35851354540126,0.0,38.72649290663148,0.0,37.93164436960997,0.0,37.23901325658343,0.0,38.8520588602416,0.0,68.39254899543941,0.0,54.19460505199288,0.0,46.95609309531355,0.0,43.15141245795503,0.0,40.987310571480734,0.0,53.27790304396844,0.0,54.456174398956016,0.0,48.728942176354536,0.0,49.00961403929563,0.0
3M India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.4706265168052,0.0,0.0,0.0,82.7754312655634,0.0,83.41333308551222,0.0,83.87046061939947,0.0,84.53403863635327,0.0,86.55707606757409,0.0,87.2474835126692,0.0,86.7823194424164,0.0,88.3362473993182,0.0,84.41624929556225,0.0,85.06689684937419,0.0,87.25953204822116,0.0,0.0,0.0,0.0,0.0
3P Land Holdings Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7697935719885027,0.0,2.785234899328859,0.0,2.2768124625524266,0.0,3.4741784037558685,0.0,3.5221602582917524,0.0,1.348747591522158,0.0,0.22471910112359547,0.0,0.24082993701370878,0.0,0.25580480125934674,0.0,0.30903216743924705,0.0,0.3033838973162194,0.0,0.18818948734587929,0.0,0.14203483591238691,0.0
52 Weeks Entertainment Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9433962264150944,0.0,0.0,0.0,65.75875486381324,0.0,77.11640211640211,0.0,80.94721619667389,0.0,90.57466693179558,0.0,86.44893980014623,0.0,89.88879736408568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63 Moons Technologies Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.887763663168315,0.0,36.663158376424285,0.0,37.630676333463406,0.0,37.38440555806444,0.0,38.58041133159567,0.0,40.00997479924517,0.0,41.10447431270693,0.0,45.0094039037079,0.0,44.30140354521368,0.0,34.212985118844145,0.0,38.59659364215028,0.0,43.752051368580666,0.0,52.04059756065956,0.0
7Seas Entertainment Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A B B India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,78.11039507432777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.4733185640849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.38430034582049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A B Cotspin India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.8040451799317,0.0,0.0,0.0,67.55666914614571,0.0
A B M International Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1523178807947,0.0,56.94267515923567,0.0,68.44631073785243,0.0,53.81543921916593,0.0,70.91521617069063,0.0,76.53388278388277,0.0,66.36133922931144,0.0,76.90648892374044,0.0,73.61668003207697,0.0,80.32559062934286,0.0,75.2608047690015,0.0,75.63725490196079,0.0,0.0,0.0
