Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.890071288356235,0.0,2.113291063524345,0.0,1.816305557934401,0.0,1.8372005636449036,0.0,2.1129032258064515,0.0,2.7046191701152,0.0,2.4144375553587243,0.0,2.8592381555344524,0.0,2.8926422463844608,0.0,2.8861304507145475,0.0,3.8703943496174222,0.0,0.0,0.0,4.251742657981945,0.0
3B Blackbio Dx Ltd.,0.0,2.1981279251170047,0.0,2.359375,0.0,2.5606060606060606,0.0,2.541193181818182,0.0,2.624815361890694,0.0,0.0,0.0,2.3453145057766367,0.0,0.0,0.0,2.9407616361071933,0.0,0.0,0.0,3.110074626865672,0.0,3.2116104868913857,0.0,3.1641541038525967,0.0,4.405566600397614,0.0,5.313901345291479,0.0,5.063461538461538,0.0,5.287795992714026,0.0,4.830985915492958,0.0,6.418727915194346,0.0,6.439344262295083,0.0,4.2134344528710725,0.0,2.817770366841353,0.0,2.2573471008737096,0.0,5.355029585798817,0.0,5.094703049759229,0.0,8.732976281560827,0.0,12.646875,0.0,7.062965082999428,0.0,9.043417366946779,0.0,7.110812264658419,0.0
3I Infotech Ltd.,0.0,1.9493220914238762,0.0,1.4682676028284036,0.0,2.6501819786037277,0.0,1.5620787371319704,0.0,0.5198479194536366,0.0,0.5446554530656538,0.0,0.4531823351960833,0.0,0.4751570999812418,0.0,0.3463789358811131,0.0,0.31757992537859386,0.0,0.24960043994569422,0.0,1.0762695375835007,0.0,1.1600349803235679,0.0,1.5124569356300996,0.0,1.6149726010465164,0.0,1.5000558721644877,0.0,1.6684457438128908,0.0,1.6576494586536956,0.0,1.567994384979821,0.0,1.6124561021847905,0.0,1.6841614813478822,0.0,5.317699910152741,0.0,2.5476953286482016,0.0,2.9014431793458555,0.0,1.9965480926749357,0.0,1.5643046905622577,0.0,1.2434548085778185,0.0,1.1377984409410284,0.0,1.1515287366627813,0.0,1.2113427526924216,0.0
3M India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50898566169347,0.0,0.0,0.0,2.4371782200126866,0.0,2.840395569620253,0.0,3.228581308895997,0.0,3.4993476164362836,0.0,2.967552361853832,0.0,2.8594686149101296,0.0,3.0542742541990475,0.0,3.020540853475245,0.0,2.105592951890715,0.0,2.249260169048955,0.0,2.463236516055173,0.0,0.0,0.0,0.0,0.0
3P Land Holdings Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.235294117647059,0.0,4.88235294117647,0.0,19.0,0.0,4.352941176470588,0.0,30.0,0.0,4.8125,0.0,3.0,0.0,1.0833333333333335,0.0,6.5,0.0,1.2941176470588234,0.0,1.0,0.0,0.5178571428571428,0.0,0.475,0.0
52 Weeks Entertainment Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.2671936758893281,0.0,0.4915682967959528,0.0,1.9055319148936172,0.0,1.7124060150375937,0.0,1.7036503362151776,0.0,1.7212145110410095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63 Moons Technologies Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.031292567094946,0.0,6.094762008259074,0.0,6.3886714966487155,0.0,5.905610324430901,0.0,5.735610239004385,0.0,5.716213901544996,0.0,5.9804236873383205,0.0,5.292052754249332,0.0,5.008683779355544,0.0,3.178228930711095,0.0,5.192667755717517,0.0,5.954512567240241,0.0,9.385239632902787,0.0
7Seas Entertainment Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A B B India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,1.2251173341884396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5530170904543559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4068432121312744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A B Cotspin India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.93803786574871,0.0,0.0,0.0,18.221752903907074,0.0
