Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2756311828227654,0.0,0.27058223977576756,0.0,0.24453042560675348,0.0,0.2215355943009883,0.0,0.22716441620333602,0.0,0.2587746941081868,0.0,0.23785938165073714,0.0,0.22958065880001538,0.0,0.20591998472262008,0.0,0.18911098957322559,0.0,0.20556204799891606,0.0,0.0,0.0,0.227007299270073,0.0
3B Blackbio Dx Ltd.,0.0,0.0,0.0,0.18504772004241785,0.0,0.0,0.0,0.25362318840579706,0.0,0.2560807709958697,0.0,0.0,0.0,0.27252252252252257,0.0,0.0,0.0,0.2889069483949614,0.0,0.0,0.0,0.34387351778656117,0.0,0.3753637245392823,0.0,0.35844850646455634,0.0,0.3417223751474636,0.0,0.32288978990047923,0.0,0.1924867021276596,0.0,0.18839258584017016,0.0,0.16621911922663796,0.0,0.07475317348377995,0.0,0.07729468599033816,0.0,0.016123076923076927,0.0,0.007981891827495828,0.0,0.0036362400598110517,0.0,0.008900615655233068,0.0,0.007325394701632326,0.0,0.006648108727689538,0.0,0.004184361728703472,0.0,0.002326154182972552,0.0,0.001917999302545708,0.0,0.0006857951905846957,0.0
3I Infotech Ltd.,0.0,0.0,0.0,0.582327738117083,0.0,0.0,0.0,0.588429140580535,0.0,0.6223730143854552,0.0,0.6059728317294688,0.0,0.572279731670203,0.0,0.6811931469876438,0.0,0.723203544791082,0.0,0.8784334819801843,0.0,0.8557845957174816,0.0,0.6804435036193802,0.0,0.7735033481027416,0.0,0.744265797166629,0.0,0.6668969410646104,0.0,0.6897706440705583,0.0,0.6641242873345359,0.0,0.6198174419883428,0.0,0.6161133081946105,0.0,0.5852562676293898,0.0,0.5557258366503475,0.0,0.4235717367188463,0.0,0.1540550047266252,0.0,0.1392439233360328,0.0,0.10409448420626691,0.0,0.11324630272046741,0.0,0.14602593010146564,0.0,0.1413394455505178,0.0,0.14670283806343906,0.0,0.12694129639623433,0.0
3M India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023681368096135514,0.0,0.0,0.0,0.003812873583950859,0.0,0.015924055220738906,0.0,0.01892334987760235,0.0,0.014224829041674093,0.0,0.009391158825130284,0.0,0.011431216012958463,0.0,0.00875052976854012,0.0,0.007208650380456548,0.0,0.010616174684689691,0.0,0.008708660380532978,0.0,0.0059458787668679155,0.0,0.0,0.0,0.0,0.0
3P Land Holdings Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52 Weeks Entertainment Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.786184763752896,0.0,0.0,0.0,2.616731517509728,0.0,2.253968253968254,0.0,0.8362255965292841,0.0,0.549015708888447,0.0,0.47209359005605644,0.0,0.5113261943986821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63 Moons Technologies Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009507098560572703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011890945758261829,0.0,0.00012948056712488401,0.0,6.72756716755006e-05,0.0,0.0002538328764341558,0.0,0.0010144363960456304,0.0,0.0012579476310931837,0.0,0.0012072162107888234,0.0,0.001574064229217036,0.0,0.0006714429426634844,0.0
7Seas Entertainment Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A B B India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000363854056883115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003304678793394619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A B Cotspin India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6391909640136589,0.0,0.0,0.0,0.6490623654230121,0.0
