Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5916040844994328,0.0,0.5331358570137563,0.0,0.5075934579439253,0.0,0.420636029240583,0.0,0.44360189573459713,0.0,0.4900201654389069,0.0,0.4568052613978375,0.0,0.4057193316125527,0.0,0.346475162264636,0.0,0.3159989387105333,0.0,0.3275047896597318,0.0,0.0,0.0,0.3687472035794183,0.0
3B Blackbio Dx Ltd.,0.0,0.0,0.0,0.20998796630565583,0.0,0.0,0.0,0.30335861321776814,0.0,0.3024390243902439,0.0,0.0,0.0,0.2970054000981836,0.0,0.0,0.0,0.35355544505221287,0.0,0.0,0.0,0.32861189801699714,0.0,0.3708672735984667,0.0,0.37187789084181305,0.0,0.40120036934441367,0.0,0.3610882110469909,0.0,0.18054256314312442,0.0,0.1727019498607242,0.0,0.1537888198757764,0.0,0.06484502446982054,0.0,0.06287959985709182,0.0,0.019801980198019802,0.0,0.012242660494579118,0.0,0.0038811708803366102,0.0,0.00887439054333719,0.0,0.006981859916472727,0.0,0.006260408314315674,0.0,0.003530031612223393,0.0,0.0020288333015084977,0.0,0.0016309412861137001,0.0,0.0006276574205304717,0.0
3I Infotech Ltd.,0.0,0.0,0.0,1.3489188003913233,0.0,0.0,0.0,2.0462543295398317,0.0,1.4959067455987836,0.0,1.4020846090180534,0.0,1.4059326440216138,0.0,2.0814409743799156,0.0,2.617756274569096,-0.0,9.225512528473804,0.0,-3.495630416651558,0.0,1.222369960642485,0.0,0.9033284052445241,0.0,0.6808684152523693,0.0,0.5834161874126783,0.0,0.45341781236443096,0.0,0.4631882950032915,0.0,0.435806892285486,0.0,0.44692774701447724,0.0,0.4060613907535406,0.0,0.3939253921361405,0.0,0.23204081804907284,0.0,0.16003791122834665,0.0,0.1361221703362897,0.0,0.09887100648570742,0.0,0.1223237066893466,0.0,0.17440921026055342,0.0,0.18259234443555886,0.0,0.17192849837698432,0.0,0.1332815680678265,0.0
3M India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004860898524105047,0.0,0.0,0.0,0.0052696816724487755,0.0,0.020970505446089825,0.0,0.023908293845586355,0.0,0.017371512727394442,0.0,0.012031640299750207,0.0,0.014713620523614268,0.0,0.011194386860149896,0.0,0.009279206028550114,0.0,0.015840118430792006,0.0,0.012858940501072029,0.0,0.008423764468209326,0.0,0.0,0.0,0.0,0.0
3P Land Holdings Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52 Weeks Entertainment Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247737111373475,0.0,0.0,0.0,0.2609623593325572,0.0,0.3564853556485355,0.0,0.4187941336230309,0.0,0.49145603417586325,0.0,0.33304676753782664,0.0,0.44244476122594434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63 Moons Technologies Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001361863430828948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016128616035715208,0.0,0.00017928643996892372,0.0,9.015825994558307e-05,0.0,0.000337771544194994,0.0,0.001344331243218329,0.0,0.0016966865433085388,0.0,0.0015402536502819827,0.0,0.0020466184213689806,0.0,0.0008324667889565247,0.0
7Seas Entertainment Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A B B India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004846869948690031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071001929297076155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A B Cotspin India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7769826201256025,0.0,0.0,0.0,1.4968400144456482,0.0
