Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.59048002617867,0.0,50.7529621607848,0.0,48.17446359479424,0.0,52.66681380122121,0.0,51.20907245609391,0.0,52.80898876404495,0.0,52.07019308903765,0.0,56.586078333397396,0.0,59.43282727012317,0.0,59.84545085654804,0.0,62.76611960774351,0.0,0.0,0.0,61.56176835146675,0.0
3B Blackbio Dx Ltd.,0.0,91.23102866779091,0.0,88.12301166489927,0.0,89.6730669434354,0.0,83.60507246376811,0.0,84.67186782927949,0.0,0.0,0.0,91.75675675675676,0.0,0.0,0.0,81.71475010158473,0.0,0.0,0.0,104.64426877470355,0.0,101.21241513094085,0.0,96.38876504681231,0.0,85.17499016909163,0.0,89.42130482860304,0.0,106.61569148936172,0.0,109.08538438164692,0.0,108.08270676691727,0.0,115.27973671838268,0.0,122.92490118577074,0.0,81.42153846153847,0.0,65.1973631959336,0.0,93.68925440086998,0.0,100.29551451187335,0.0,104.92039068771741,0.0,106.19289340101523,0.0,118.53609792655506,0.0,114.65477135272708,0.0,117.60075723608824,0.0,109.26265955799394,0.0
3I Infotech Ltd.,0.0,71.77631578947368,0.0,43.169962339330496,0.0,51.5327417604729,0.0,28.75640295959021,0.0,41.6050677100417,0.0,43.21941970063137,0.0,40.704633618380164,0.0,32.72699804473575,0.0,27.626847916165424,0.0,9.521785150353109,0.0,-24.481552501686725,0.0,55.66592157269105,0.0,85.628144051704,0.0,109.31125317228307,0.0,114.3089539599768,0.0,152.1269401556198,0.0,143.38106003516702,0.0,142.22295538692768,0.0,137.85523774487262,0.0,144.12999633954652,0.0,141.07388042106433,0.0,182.5419080488105,0.0,96.26156923956295,0.0,102.2933464784104,0.0,105.2831238461344,0.0,92.57919481467958,0.0,83.72604284103721,0.0,77.40710377942479,0.0,85.32781909242676,0.0,95.24294937138973,0.0
3M India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.7180877747197,0.0,0.0,0.0,72.35491289512844,0.0,75.93548596945294,0.0,79.14972937768097,0.0,81.88595469433064,0.0,78.05385293412783,0.0,77.69138802113463,0.0,78.16890623720099,0.0,77.68606881102852,0.0,67.02080373371857,0.0,67.72455615458328,0.0,70.58457996193067,0.0,0.0,0.0,0.0,0.0
3P Land Holdings Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.34256597857328,0.0,139.09395973154363,0.0,197.1240263630917,0.0,176.3849765258216,0.0,147.4024068095098,0.0,127.00998423541773,0.0,131.72284644194752,0.0,133.14190440904036,0.0,137.0720188902007,0.0,124.62424497822727,0.0,119.3815635939323,0.0,106.21025308241401,0.0,107.12416834865812,0.0
52 Weeks Entertainment Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.0868990501225,0.0,0.0,0.0,1002.7237354085606,0.0,632.2751322751324,0.0,199.67462039045554,0.0,111.71206999403462,0.0,141.74993906897393,0.0,115.5683690280066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63 Moons Technologies Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.80948563091866,0.0,69.79405682558567,0.0,71.67555528170861,0.0,71.08227033724643,0.0,73.72576625254466,0.0,72.21994432335612,0.0,74.61953204964942,0.0,75.14927790590293,0.0,75.46030051470571,0.0,74.14142795287253,0.0,78.37775359713068,0.0,76.91048867644542,0.0,80.65702458894734,0.0
7Seas Entertainment Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A B B India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,43.57290339586171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.06990299614998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5435070020091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A B Cotspin India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.9705805095876,0.0,0.0,0.0,43.362173589633166,0.0
A B M International Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.48344370860926,0.0,93.21656050955414,0.0,73.6352729454109,0.0,111.88997338065658,0.0,97.38910724312184,0.0,75.89285714285714,0.0,107.16993051168666,0.0,52.69554989217801,0.0,73.80379577653031,0.0,52.70994639666468,0.0,60.28315946348734,0.0,65.49019607843137,0.0,0.0,0.0
A B M Knowledgeware Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.93145468392994,0.0,77.18593418498625,0.0,65.1115916003958,0.0,69.61011281372875,0.0,69.1123061880151,0.0,65.66440971665115,0.0,67.21316724839092,0.0,67.28719222665954,0.0,64.55274088808284,0.0,66.71019051575763,0.0,64.19422514216309,0.0,61.869490376088876,0.0,61.30439141768599,0.0
A C C Ltd.,66.47019098082721,0.0,61.65635900577679,0.0,63.89978062579379,0.0,57.45910037664693,0.0,56.11413491176725,0.0,55.93585752166296,0.0,63.33939641998702,0.0,61.5189739110645,0.0,65.1096577775272,0.0,65.95625478156816,0.0,68.5601608040201,0.0,68.08548834950766,0.0,67.02271847417006,0.0,69.37332488478356,0.0,70.22329594846114,0.0,66.30300369313366,0.0,69.71633777311725,0.0,72.28852859640806,0.0,73.45709269533725,0.0,74.4236678702926,0.0,74.63291261438991,0.0,76.95737256946373,0.0,78.3467526046245,0.0,76.62065776086469,76.50481030561141,78.12029422951593,0.0,80.45810830665027,79.58998529471403,0.0,75.85589875245088,0.0,74.48125117531058,0.0,75.76182827135518,0.0,77.6784770686232,0.0
A C S Technologies Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3136.0229903833133,0.0,0.0,0.0,144.82393433942283,0.0,151.1748878923767,0.0,130.70560432140445,0.0,119.8977645532921,0.0,96.73432293244471,0.0
A D F Foods Ltd.,0.0,184.66021081497982,0.0,133.2816043929808,0.0,149.89195206600746,0.0,124.53927697743951,0.0,0.0,0.0,134.62736423960638,0.0,82.3840601206368,0.0,88.47232319036246,0.0,93.07524826084646,0.0,96.36203769852173,0.0,93.22985643905282,0.0,106.68551569770865,0.0,104.62848751835536,0.0,98.65027465341353,0.0,97.99948038451546,0.0,98.59374999999999,0.0,93.56652092442225,0.0,102.39658393381373,0.0,92.44785949506038,0.0,81.95129075838902,0.0,86.63605775970838,0.0,87.8283765184609,0.0,76.15423278523731,0.0,72.56106071179343,0.0,73.98743654358861,0.0,75.16994633273703,0.0,74.37589531458741,0.0,75.41034325538982,0.0,76.3815851623264,0.0,78.7437839492005,0.0
A F Enterprises Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.51854871585813,0.0,20.13611229264143,0.0,23.413409824309788,0.0,0.0,0.0,44.12645590682196,0.0,49.96218995765274,0.0,50.549533843704985,0.0,53.97826582567065,0.0,0.0,0.0
A G I Greenpac Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.500850500850504,0.0,54.463000139339734,0.0
A G Ventures Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.14189283035641,0.0,59.94223981174457,0.0,59.219703302598916,0.0,67.6993040722111,0.0,61.46065508853313,0.0,60.36404000344857,0.0,56.94734007002704,0.0,56.2364353520675,0.0,55.29897316872725,0.0,58.88686727315139,0.0,107.85623833644362,0.0,50.97348760084214,0.0,50.57746865562369,0.0
A I A Engineering Ltd.,0.0,100.11172300604095,0.0,79.54278754029201,0.0,92.78464966497909,0.0,84.37447449669394,0.0,88.22719449225474,0.0,78.76727725296475,0.0,69.92698522422882,0.0,68.93103367138049,0.0,71.76343732295265,0.0,72.08129484810357,0.0,67.96145596302242,0.0,63.35368938842546,0.0,65.51593196681983,0.0,67.02866242038216,0.0,0.0,0.0,67.12671604106308,0.0,66.23140104536598,0.0,69.55597167008288,0.0,68.76585462570574,0.0,67.58201731996519,0.0,70.42499198679637,0.0,79.32305505317764,0.0,75.06282644080008,0.0,80.41770266901158,0.0,67.65193439603951,0.0,66.36078909904413,0.0,67.78191349241077,0.0,64.98451451897675,0.0,67.2389101846216,0.0,60.23474174332254,0.0
A I Champdany Inds. Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.03479320381777,0.0,30.69612041001687,0.0,29.925003989149513,0.0,28.548936443673284,0.0,26.864192795729853,0.0,24.431212785960515,0.0,27.32496549067445,0.0,26.061908016795233,0.0,35.36516109491538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
