Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.62702702702702,327.7027027027027,25.40045766590389,200.32307692307694,132.53846153846155,88.94771241830065,72.23295454545455,13.92616720955483,2140.333333333333,204.19047619047618,114.31297709923663,61.004329004328994,13.50344827586207,27.883161512027492,52.28246753246753,236.17808219178082,344.27777777777777,1341.2857142857142,48.65094339622642,39.92626728110599,414.2608695652174,199.7,104.72455089820359,110.02072538860104,101.11842105263159,83.68641114982579,80.69548872180451,61.14247311827956,170.4551724137931
3B Blackbio Dx Ltd.,1.5517241379310347,6.711111111111111,22.000000000000004,17.727272727272727,3.194444444444444,15.183333333333334,14.3125,37.63636363636363,14.08695652173913,44.65,112.2,10.208333333333334,6.75,25.18918918918919,130.5,8.35,2.81,8.826666666666666,1.254980079681275,3.9625,10.444444444444443,14.605263157894736,12.027027027027028,7.5,5.176470588235294,19.15625,5.432098765432099,13.043478260869565,13.548387096774194,17.488888888888887,15.216216216216216,11.479166666666666,11.742857142857144,17.42222222222222,260.0,13.021276595744682,6.950617283950617,13.388888888888891,14.934782608695652,12.254545454545454,139.18421052631578,106.93333333333332,388.09090909090907,314.6666666666667,69.51063829787235,217.42857142857142,1436.0,55.75757575757575,33.4,216.37499999999997,92.0625,1811.0,57.12,33.06896551724138,1767.0000000000002,766.6666666666667,42.23913043478261,224.2307692307692,52.895833333333336,51.13636363636363,370.5
3I Infotech Ltd.,637.01,643.38,637.75,651.61,479.39,497.7,350.15,353.77,269.92,339.67,364.03,337.75,300.52,328.56,344.11,334.7,363.58,355.47,319.63,305.31,274.59,292.85,286.4,271.74,255.13,245.14,248.0,255.52,239.31,235.08,237.52,279.28,241.98,273.63,306.54,299.6,280.12,296.15,287.34,157.59,149.52,250.8,157.85,149.18,159.86,175.82,165.7,175.63,179.22,177.13,182.3,190.46,194.38,210.28,212.18,197.04,179.75,177.6,181.41,187.0,170.55
3M India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.81010374379792,21.765256797583078,475.1592356687898,6136.833333333333,56.53928571428571,66.14870881567231,33.81672971836906,557.3211678832116,48.05802707930368,16.057967557251906,45.49014454664915,11.538461538461538,549.2148148148149,27.730807911498495,9.431596297705084,16.992313915857608,30.068413391557495,62.203629032258064,15.456183456183457,160.11475409836066,77.76272513703994,94.49322493224932,55.04247509176718,29.624394414363064,45.94061215166742,103.55250709555345,26.11854255053656,0.0,0.0,0.0,0.0
3P Land Holdings Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.81,0.49,0.07,0.09,0.8,0.28,0.68,0.35,0.34,0.34,0.36,0.37,0.91,0.43,0.43,0.44,1.15,0.48,0.47,0.47,1.32,0.9,0.89,0.89,1.74,0.94,0.91,0.91
52 Weeks Entertainment Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,54.14285714285714,7.21,7.508982035928144,8.433333333333334,2.0410526315789475,235.39999999999998,11.629921259842519,5.546875,5.159090909090909,29.19,35.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63 Moons Technologies Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.84,60.15,69.35,62.79,64.39,68.48,40.21,38.63,36.24,42.24,42.06,39.69,38.27,39.2,40.5,42.3,40.91,44.32,93.24,111.6,115.07,158.77,134.78,9.68,11.62,9.79,11.78,13.63,30.45
7Seas Entertainment Ltd.,1.75,2.03,4.8,5.05,5.17,5.64,5.97,6.31,6.91,3.43,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A B B India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,111.41578148710167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.69357045143639,109.23779724655819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.52394170714781,57.53839824465167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A B Cotspin India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.574766355140187,4.580528846153846,115.0952380952381,49.01204819277109,3.320627802690583,5.174574209245741,7.468085106382978
