Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.493442746746545,0.0,9.945215951076568,0.0,9.12650955563372,0.0,6.701978959758699,0.0,5.224605065748831,0.0,6.524243148675375,0.0,5.711411213868359,0.0,5.388784256447707,0.0,4.355962952353671,0.0,3.503819622095587,0.0,2.7336009349118444,0.0,0.0,0.0,4.429141991461232,0.0
3B Blackbio Dx Ltd.,0.0,0.0,0.0,5.779427359490987,0.0,0.0,0.0,6.4311594202898545,0.0,6.241395135383204,0.0,0.0,0.0,7.252252252252253,0.0,0.0,0.0,10.483543275091426,0.0,0.0,0.0,10.622529644268774,0.0,12.94859359844811,0.0,13.954525189478376,0.0,11.56114825009831,0.0,13.048286030224846,0.0,7.6462765957446805,0.0,6.350653296870251,0.0,5.746509129967776,0.0,3.5496003761165955,0.0,3.2059727711901616,0.0,0.6892307692307694,0.0,0.40505122706695257,0.0,0.36362400598110517,0.0,0.2955145118733509,0.0,0.3211131924003211,0.0,0.2980186671033241,0.0,0.22795403447414436,0.0,0.21619550641744892,0.0,0.1793453893289493,0.0,0.06857951905846957,0.0
3I Infotech Ltd.,0.0,0.0,0.0,42.243154525251285,0.0,0.0,0.0,55.43767785998861,0.0,53.87663417834215,0.0,57.307543542809945,0.0,53.20704472877688,0.0,59.81685013611312,0.0,64.83278530756276,0.0,80.7000572608492,0.0,79.98517453215439,0.0,64.60334848193268,0.0,74.33037945164406,0.0,72.51598188184649,0.0,65.00126279508548,0.0,67.19191754593228,0.0,63.91115373783044,0.0,59.657612082554344,0.0,61.26820847689053,0.0,58.0590983800699,0.0,54.91727112602804,0.0,41.70390114630839,0.0,14.674522391012818,0.0,5.958710374047863,0.0,5.639715738094637,0.0,5.282316961840423,0.0,6.381059751972944,0.0,4.610931722741797,0.0,6.228183335862801,0.0,4.53119066178969,0.0
3M India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23681368096135513,0.0,0.0,0.0,0.38128735839508593,0.0,0.7806364975442477,0.0,0.792328250275114,0.0,0.6728700442641599,0.0,0.4236582463066993,0.0,0.48362836977901186,0.0,0.2436044917249264,0.0,0.28196437350837267,0.0,0.5393413606165717,0.0,0.45792703890916797,0.0,0.2868281451343873,0.0,0.0,0.0,0.0,0.0
3P Land Holdings Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52 Weeks Entertainment Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.4749284666342,0.0,0.0,0.0,207.97665369649812,0.0,141.4021164021164,0.0,39.29862617498192,0.0,21.694173792006364,0.0,0.19497928345113333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63 Moons Technologies Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05629779562366785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009274937691444227,0.0,0.010310489604388911,0.0,0.0031235133277910995,0.0,0.021273612501148294,0.0,0.06255691108948054,0.0,0.07976117226134317,0.0,0.0621120913094443,0.0,0.08251702346996796,0.0,0.03840182444005192,0.0
7Seas Entertainment Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A B B India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0363854056883115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19328836525536708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A B Cotspin India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.640661938534276,0.0,0.0,0.0,27.46740790040324,0.0
