Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.839622641509436,21.5989847715736,33.42741935483871,20.96153846153846,15.333333333333332,19.87562189054727,23.00653594771242,28.876404494382022,0.0,10.0,25.125,15.238095238095239,36.76829268292683,33.16216216216216,19.21212121212121,24.584717607973424,18.284574468085108,28.97626112759644,43.588516746411486,28.117424242424242,22.191489361702125,29.383259911894275,54.323076923076925,37.13178294573643,43.63636363636364,64.74193548387096,64.30136986301369,44.43155452436195,48.35774058577406
3B Blackbio Dx Ltd.,42.91666666666667,18.205128205128204,29.435483870967744,0.0,60.31914893617022,39.77777777777777,112.14285714285712,0.0,42.5,18.34375,27.027027027027028,10.723684210526317,23.88888888888889,12.641509433962264,41.041666666666664,0.0,0.0,17.1875,23.72093023255814,0.0,0.0,19.148936170212767,22.476190476190474,0.0,155.16666666666669,13.513513513513512,81.66666666666667,230.0,51.49038461538461,37.753623188405804,83.33333333333333,146.86813186813188,100.2919708029197,32.25941422594142,37.399193548387096,38.91752577319588,49.232804232804234,28.7,39.090909090909086,24.02317880794702,5.146327995582552,3.7782805429864257,13.48854961832061,30.063357972544875,34.11764705882353,58.99744572158365,51.0183066361556,53.07153965785381,50.41401273885351,29.959349593495933,45.34566699123661,60.07225433526011,43.958333333333336,88.69074492099323,79.43158953722335,75.00974658869396,84.98862774829416,77.9308357348703,125.62857142857143,172.36140724946694,98.51287262872629
3I Infotech Ltd.,19.375,18.564814814814813,18.384615384615383,13.476923076923075,22.10526315789474,10.436507936507937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.419354838709676,23.916666666666668,33.11764705882353,18.703703703703702,60.999999999999986,31.916666666666668,47.35294117647059,33.53333333333334,108.0,55.5,33.09090909090909,17.454545454545453,329.0,25.374999999999996,11.705882352941176,8.8,46.0,3.547368421052632,50.07692307692307,2.7555555555555555,0.0,0.0,0.0,0.0,0.0,43.03921568627451,52.92207792207792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.519607843137255,13.289308176100628,55.62222222222222
3M India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.49646748892346,224.5291323989343,216.0671436433682,359.6778329860554,213.15477407483132,449.5311916324244,290.5174353205849,232.80919125929262,334.3843984962406,354.4771364317841,0.0,275.36481008857527,395.24563732928675,483.35278132992323,911.2593562874251,436.4982456140351,427.5628691983122,199.73288645135082,292.37767379679144,260.30805938494166,198.07970033396515,190.98979083665338,235.26939843068877,245.97833628864387,309.9179508538109,203.68026590198124,263.9670250896057,0.0,0.0,0.0,0.0
3P Land Holdings Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,0.0,0.0,55.25,3.4836601307189543,5.472727272727272,208.99999999999997,0.0,0.0,0.0,260.0,42.09090909090909,111.64285714285714,111.53846153846153,112.23076923076923,40.595238095238095,113.33333333333334,136.13333333333335,134.28571428571428,54.79545454545455,122.54545454545455,137.4,181.57142857142858,71.32075471698113,281.1904761904762,177.9047619047619,240.0952380952381
52 Weeks Entertainment Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2306.8202398947406,0.0,0.0,1342.3974204389467,1517.004991593367,1566.1904504398406,0.0,342.6470588235294,120.52631578947368,0.0,15.32258064516129,0.0,5.2025316455696204,0.0,1.176,1.5000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63 Moons Technologies Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.752358490566037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.54639175257734,0.0,0.0,35.303983228511534,0.0,28.594847775175644,15.71868008948546,23.503976143141152,219.6264367816092,0.0,0.0,0.0,339.1422594142259,1495.9701492537313
7Seas Entertainment Ltd.,0.0,175.3030303030303,111.2037037037037,47.58064516129032,35.646551724137936,31.39097744360902,26.205673758865252,32.58928571428571,18.784530386740332,94.82758620689656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A B B India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,192.60726072607264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.7073170731707,238.4012539184953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.9521276595746,334.2430858806405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A B Cotspin India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
