Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.17543859649122,-92.3076923076923,657.1428571428571,-9.433962264150951,172.91666666666669,-21.37404580152672,364.0776699029126,-75.73221757322176,625.0,-3.686087990487521,7.03703703703704,-84.08304498269896,2.173913043478263,-9.929078014184391,39.370078740157474,-9.604519774011296,12.499999999999996,0.0,-21.111111111111118,66.19718309859155,4.237288135593224,-46.7479674796748,50.38167938931297,95.93908629441624,-48.18652849740933,-35.0,54.6153846153846,-15.920398009950244
3B Blackbio Dx Ltd.,0.0,0.0,-100.0,0.0,0.0,-50.0,100.0,349.99999999999994,-55.55555555555556,-75.0,-100.0,0.0,-14.285714285714295,-100.0,0.0,0.0,-66.66666666666666,-50.0,0.0,800.0,-77.77777777777777,-50.0,100.0,199.99999999999994,-16.66666666666666,0.0,19.99999999999999,116.66666666666667,-84.61538461538461,1399.9999999999998,-76.66666666666666,0.0,-42.85714285714286,525.0,36.00000000000001,-61.76470588235294,-100.0,0.0,-84.61538461538461,900.0,-1.250000000000001,101.26582278481013,-57.861635220125784,0.0,52.23880597014925,690.1960784313726,-93.67245657568239,49.01960784313725,-47.368421052631575,412.4999999999999,40.48780487804879,-58.68055555555556,148.73949579831933,-7.094594594594593,-10.181818181818175,68.0161943319838,-11.325301204819281,-6.7934782608695645,-12.244897959183684,63.12292358803988,-12.219959266802455
3I Infotech Ltd.,0.0,135.755258126195,21.0867802108678,3.281982585398528,-33.98184176394293,97.34774066797642,-96.06769537083126,646.8354430379746,911.3559322033899,170.1860231271996,-100.0,0.0,2632.413793103448,-44.82584553255931,-100.0,0.0,-95.11423550087873,-92.80575539568345,309.99999999999994,4402.439024390244,-30.335861321776818,12.986003110419908,265.0378527185134,1470.3054298642535,-99.022680065795,-3.316953316953322,359.59339263024145,-68.95217030688416,1.2466607301869883,33.50923482849605,-45.65217391304348,162.78787878787878,126.70664206642066,12.309257375381494,138.33333333333334,-94.66403162055337,-54.7008547008547,465.40880503144655,15.51724137931034,121.76215695714976,-67.39036039947894,-78.42876165113182,-12.654320987654325,10487.985865724382,-92.16393004939259,-59.75298126064737,-10.582010582010582,148.9940828402367,94.29657794676808,-17.294520547945204,80.41999408459034,-84.04918032786884,-22.507708119218915,318.3023872679045,-44.70513633481293,-40.022935779816514,-17.590822179732328,165.66125290023203,4.279475982532753,27.721943048576218,-81.14754098360656
3M India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.92376317923762,19.089759797724394,55.414012738853515,-31.557377049180335,-79.74051896207585,177.83251231527095,73.22695035460993,37.768679631525096,-14.85884101040119,-38.21989528795812,-14.406779661016955,7.095709570957107,16.332819722650225,6.887417218543053,3.221809169764557,-27.250900360144065,44.3894389438944,25.371428571428577,210.11850501367365,-67.10758377425044,-28.150134048257375,59.70149253731345,35.82554517133957,-5.160550458715608,82.46674727932286,-27.899271040424118,-100.0,0.0,0.0,0.0
3P Land Holdings Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2966.666666666667,-100.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0
52 Weeks Entertainment Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.545454545454549,-2.1739130434782625,2.222222222222224,4.3478260869565135,0.0,0.0,4.1666666666666705,13.99999999999999,-19.29824561403508,0.0,0.0,-2.1739130434782625,-6.666666666666672,-88.09523809523809,-80.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63 Moons Technologies Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.49220258428635,9.969008264462808,14.866134335368713,-33.16295236148027,150.6271030896299,-59.06261442694984,-22.0035778175313,-6.536697247706426,-6.912065439672793,-6.326889279437616,-12.617260787992501,-7.675791733762748,0.7558139534883663,-4.789382573571832,7.21212121212122,61.72979084228376,-30.72352324362111,11.150353178607471,60.099863822060826,-14.970229656932249,10.936978992997682,13.465584610760434,97.35099337748345,-49.57046979865772,-0.9582113388341748,-0.2956194571351772,412.6684636118598,-77.82334384858044
7Seas Entertainment Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A B B India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.44035346097202,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92.33817301875379,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A B Cotspin India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,-56.043956043956044,9.999999999999995,-61.36363636363637,911.7647058823529,-99.4186046511628
A B M International Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.692307692307699,-50.0,28.57142857142855,-55.55555555555556,274.99999999999994,80.00000000000001,48.148148148148145,-75.00000000000001,19.99999999999999,83.33333333333334,1022.7272727272726,-95.54655870445345,81.81818181818183,-30.0,192.8571428571428,-73.17073170731707,81.81818181818183,-35.0,369.2307692307692,-78.68852459016394,7.692307692307699,-7.142857142857148,-30.769230769230777,22.222222222222225,0.0,0.0,63.636363636363626,-33.33333333333333
A B M Knowledgeware Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9411764705882377,5.714285714285719,-9.009009009009016,-0.990099009900991,21.999999999999996,-13.114754098360649,-10.377358490566046,107.36842105263158,-45.68527918781726,20.5607476635514,-45.736434108527135,54.285714285714306,-1.8518518518518534,-29.24528301886793,49.33333333333334,-65.17857142857143,223.0769230769231,36.507936507936506,-8.139534883720925,13.924050632911388,-19.444444444444446,-0.6896551724137937,22.222222222222225,5.113636363636368,18.918918918918923,-23.18181818181819,50.29585798816568,5.118110236220468
A C C Ltd.,0.0,132.20153340635267,302.45283018867923,-66.73112986404125,-16.839880218425225,21.56322812963355,204.65237846314687,-62.268359643102265,18.46293769895408,-30.108765195137565,20.981325521786896,268.3414043583535,-85.61626951520131,17.737789203084837,231.3925278990781,80.38799414348463,-82.60622539669656,13.929071395240314,390.272373540856,-75.31746031746032,-60.31477407344729,-23.454157782515992,5.069637883008358,164.47507953340406,-48.61668003207699,4.799063597346861,14.370811615785554,16.276041666666668,-27.32362821948488,-8.436055469953779,94.36264198569627,1.320346320346319,-32.5571459089938,-0.7918910357934748,1590.3895274584927,-37.73114481612299,-84.25395092061758,-2.099788094779419,10.173160173160177,-2.393284515091987,-8.069533394327532,-10.56926751592357,596.3721344313376,-86.20877013551522,3.5921205098493725,43.13199105145412,-17.27102219443576,8.728509351974301,-8.132059079061685,85.3981463968224,-58.48806366047745,188.15433767510444,-33.27078891257996,165.66973415132927,-59.63629365919368,354.36233611442185,-59.1039059835786,-1.2315586914689005,785.796856734641,-53.64492833315004,-81.003068357954
A C S Technologies Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-55.55555555555556,-100.0,0.0,1200.0,-100.0,0.0,-97.67441860465115
A D F Foods Ltd.,0.0,1.6666666666666683,-44.26229508196721,98.52941176470587,-30.37037037037038,318.0851063829788,-96.94656488549617,616.6666666666667,-45.34883720930233,93.61702127659576,23.076923076923084,672.3214285714286,-59.65317919075145,-63.03724928366762,-88.37209302325583,440.00000000000006,145.67901234567898,-1.0050251256281415,38.578680203045685,-28.57142857142857,19.999999999999996,-50.0,-54.7008547008547,-98.11320754716981,5154.29573392247,97.72727272727273,33.33333333333333,-71.12068965517241,471.64179104477614,4.438642297650128,-94.25,2134.7826086956516,-22.957198443579763,36.61616161616162,-53.41959334565619,107.14285714285714,-59.77011494252873,76.66666666666666,-45.55256064690027,77.22772277227723,-83.79888268156425,129.31034482758622,-32.330827067669176,58.88888888888888,126.5734265734266,-76.85185185185185,105.33333333333334,129.87012987012986,2.8248587570621493,-8.516483516483518,-22.82282282282283,-0.3891050583657505,-2.343750000000002,19.2,-6.375838926174494,40.14336917562724,-38.61892583120205,33.33333333333335,23.4375,-73.41772151898735,160.95238095238096
A F Enterprises Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.38461538461539,-91.95402298850576,128.57142857142856,881.25,229.2993630573248,-45.64796905222437,-62.63345195729537,-70.47619047619047,67.74193548387098,17.307692307692303,-67.21311475409836,235.0,-95.52238805970148,-33.33333333333333,150.0,-100.0,0.0
