Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8833557185659673,0.0,2.0949874386888383,0.0,1.7374325597328082,0.0,1.8312822921559417,0.0,2.0914905450500556,0.0,2.6395257801140812,0.0,2.4079716563330376,0.0,2.8577608947979325,0.0,2.846827826454133,0.0,2.876969585928912,0.0,3.847675103001766,0.0,0.0,0.0,4.209233230487944,0.0
3B Blackbio Dx Ltd.,0.0,1.9875195007800313,0.0,2.3421875,0.0,2.45959595959596,0.0,2.525568181818182,0.0,2.5952732644017726,0.0,0.0,0.0,2.297817715019255,0.0,0.0,0.0,2.8349788434414673,0.0,0.0,0.0,3.039179104477612,0.0,3.0992509363295877,0.0,3.1105527638190957,0.0,4.359840954274354,0.0,5.213004484304933,0.0,4.971153846153846,0.0,5.205828779599272,0.0,4.757433489827856,0.0,6.291519434628975,0.0,6.3491803278688534,0.0,4.184994582881906,0.0,2.81634111481658,0.0,2.2559571088165216,0.0,5.333333333333333,0.0,5.090422685928304,0.0,8.73221117061974,0.0,12.586458333333333,0.0,7.06124785346308,0.0,9.034313725490195,0.0,7.087143625605164,0.0
3I Infotech Ltd.,0.0,1.9493220914238762,0.0,1.4682676028284036,0.0,2.6501819786037277,0.0,1.5620787371319704,0.0,0.5198479194536366,0.0,0.5446554530656538,0.0,0.4531823351960833,0.0,0.4751570999812418,0.0,0.3463789358811131,0.0,0.31757992537859386,0.0,0.24960043994569422,0.0,1.0762695375835007,0.0,1.1600349803235679,0.0,1.5124569356300996,0.0,1.6149726010465164,0.0,1.5000558721644877,0.0,1.6684457438128908,0.0,1.6576494586536956,0.0,1.567994384979821,0.0,1.6124561021847905,0.0,1.6841614813478822,0.0,5.317699910152741,0.0,2.5476953286482016,0.0,2.9014431793458555,0.0,1.9965480926749357,0.0,1.5643046905622577,0.0,1.2434548085778185,0.0,1.1377984409410284,0.0,1.1515287366627813,0.0,1.2113427526924216,0.0
3M India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4822628043660788,0.0,0.0,0.0,2.4206116216973754,0.0,2.8382278481012664,0.0,3.156099247860292,0.0,3.386267798725488,0.0,2.9260110294117645,0.0,2.7969765149025454,0.0,3.0356229631486586,0.0,3.0137495685864106,0.0,2.0946347257968716,0.0,2.215324655229106,0.0,2.4534778514319475,0.0,0.0,0.0,0.0,0.0
3P Land Holdings Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.235294117647059,0.0,4.88235294117647,0.0,19.0,0.0,4.352941176470588,0.0,30.0,0.0,4.8125,0.0,3.0,0.0,1.0833333333333335,0.0,6.5,0.0,1.2941176470588234,0.0,1.0,0.0,0.5178571428571428,0.0,0.475,0.0
52 Weeks Entertainment Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.266403162055336,0.0,0.4915682967959528,0.0,1.7268085106382978,0.0,1.7086466165413532,0.0,1.5806916426512967,0.0,1.7212145110410095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63 Moons Technologies Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.031292567094946,0.0,6.094762008259074,0.0,6.3886714966487155,0.0,5.905610324430901,0.0,5.735610239004385,0.0,5.716213901544996,0.0,5.9804236873383205,0.0,5.292052754249332,0.0,5.008683779355544,0.0,3.178228930711095,0.0,5.192667755717517,0.0,5.954512567240241,0.0,9.385239632902787,0.0
7Seas Entertainment Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A B B India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,1.2198780413472163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5457040433513962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3984356263951148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A B Cotspin India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.074010327022375,0.0,0.0,0.0,16.4857444561774,0.0
