Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.27,0.0,392.4500000000001,0.0,426.44999999999993,0.0,407.78999999999996,0.0,453.23999999999995,0.0,460.12999999999994,0.0,516.86,0.0,520.34,0.0,523.65,0.0,566.8100000000001,0.0,590.43,0.0,0.0,0.0,726.0999999999999,0.0
3B Blackbio Dx Ltd.,0.0,17.79,0.0,18.86,0.0,19.27,0.0,22.080000000000002,0.0,21.79,0.0,0.0,0.0,22.2,0.0,0.0,0.0,24.61,0.0,0.0,0.0,20.240000000000002,0.0,20.619999999999997,0.0,22.43,0.0,25.43,0.0,27.129999999999995,0.0,30.08,0.0,32.910000000000004,0.0,37.24000000000001,0.0,42.540000000000006,0.0,45.540000000000006,0.0,162.49999999999997,0.0,251.82000000000002,0.0,294.26,0.0,284.25,0.0,298.96,0.0,305.34999999999997,0.0,320.24,0.0,365.40999999999997,0.0,401.46000000000004,0.0,452.03000000000003,0.0
3I Infotech Ltd.,0.0,3359.2,0.0,3433.29,0.0,3004.42,0.0,3514.0,0.0,3414.5600000000004,0.0,3438.57,0.0,3732.72,0.0,3441.99,0.0,2992.56,0.0,2305.24,0.0,2252.88,0.0,1351.0600000000004,0.0,1200.6800000000003,0.0,1245.1600000000003,0.0,1346.2200000000003,0.0,1227.3500000000001,0.0,1313.7300000000002,0.0,1363.95,0.0,1413.49,0.0,1393.2700000000002,0.0,1442.06,0.0,1298.0800000000002,0.0,909.7399999999999,0.0,852.0299999999999,0.0,790.8199999999999,0.0,876.32,0.0,709.5999999999999,0.0,597.71,0.0,527.12,0.0,500.31000000000006,0.0
3M India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2212.7099999999996,0.0,0.0,0.0,1995.87,0.0,2152.09,0.0,2226.35,0.0,2189.1299999999997,0.0,2461.8900000000003,0.0,2592.9,0.0,2807.8299999999995,0.0,3071.31,0.0,2519.74,0.0,2734.0600000000004,0.0,3057.58,0.0,0.0,0.0,0.0,0.0
3P Land Holdings Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.27,0.0,29.8,0.0,16.689999999999998,0.0,21.3,0.0,34.07,0.0,57.09,0.0,53.400000000000006,0.0,53.980000000000004,0.0,50.82,0.0,71.19000000000001,0.0,85.7,0.0,154.1,0.0,133.77,0.0
52 Weeks Entertainment Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.0,0.0,0.0,5.139999999999999,0.0,7.56,0.0,27.66,0.0,50.29,0.0,41.03,0.0,48.559999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63 Moons Technologies Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4565.01,0.0,4589.13,0.0,4382.01,0.0,4406.57,0.0,4204.88,0.0,4170.51,0.0,4161.9800000000005,0.0,4136.58,0.0,4140.23,0.0,4388.1,0.0,4282.580000000001,0.0,4326.38,0.0,4244.59,0.0
7Seas Entertainment Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A B B India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,5918.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5579.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9053.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A B Cotspin India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.35000000000002,0.0,0.0,0.0,255.43,0.0
A B M International Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.200000000000003,0.0,31.400000000000002,0.0,33.34,0.0,22.540000000000003,0.0,35.62,0.0,43.68,0.0,31.660000000000004,0.0,51.01,0.0,37.41000000000001,0.0,50.370000000000005,0.0,40.26,0.0,40.8,0.0,0.0,0.0
