Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.29,0.0,189.78,0.0,221.05,0.0,196.79,0.0,210.84,0.0,208.48,0.0,235.84000000000003,0.0,214.23000000000002,0.0,202.56,0.0,216.34999999999997,0.0,206.32,0.0,0.0,0.0,252.33999999999997,0.0
3B Blackbio Dx Ltd.,0.0,6.41,0.0,9.89,0.0,5.94,0.0,12.64,0.0,12.349999999999998,0.0,0.0,0.0,13.84,0.0,0.0,0.0,14.2,0.0,0.0,0.0,12.32,0.0,13.08,0.0,14.01,0.0,13.72,0.0,13.219999999999999,0.0,10.99,0.0,11.690000000000001,0.0,12.579999999999998,0.0,8.84,0.0,9.62,0.0,39.54,0.0,43.99,0.0,51.43,0.0,17.740000000000002,0.0,20.880000000000003,0.0,15.100000000000001,0.0,10.94,0.0,18.319999999999997,0.0,15.05,0.0,18.9,0.0
3I Infotech Ltd.,0.0,559.81,0.0,2802.58,0.0,453.35,0.0,2692.35,0.0,2835.28,0.0,2820.88,0.0,3147.21,0.0,3197.62,0.0,3098.9,0.0,2981.83,0.0,3091.76,0.0,1227.7,0.0,1226.04,0.0,1202.48,0.0,1140.5,0.0,1115.0600000000002,0.0,1166.6399999999999,0.0,1164.05,0.0,1212.81,0.0,1137.19,0.0,1134.0600000000002,0.0,716.78,0.0,333.66999999999996,0.0,256.53,0.0,253.23999999999998,0.0,328.85,0.0,407.6600000000001,0.0,370.55,0.0,300.39,0.0,265.92999999999995,0.0
3M India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1243.88,0.0,0.0,0.0,685.48,0.0,666.27,0.0,620.48,0.0,559.97,0.0,741.2,0.0,820.78,0.0,822.37,0.0,920.35,0.0,1036.95,0.0,1057.83,0.0,1101.3200000000002,0.0,0.0,0.0,0.0,0.0
3P Land Holdings Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.0,0.02,0.0,0.17,0.0,0.04,0.0,0.16,0.0,0.04,0.0,0.12,0.0,0.02,0.0,0.17,0.0,0.26,0.0,0.56,0.0,0.4,0.0
52 Weeks Entertainment Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.11,0.0,0.0,0.0,26.1,0.0,28.9,0.0,34.879999999999995,0.0,54.21000000000001,0.0,40.19,0.0,50.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63 Moons Technologies Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.96999999999997,0.0,276.06,0.0,258.11,0.0,278.95,0.0,283.34,0.0,292.45000000000005,0.0,286.34,0.0,352.87,0.0,370.4,0.0,477.89,0.0,323.49,0.0,324.7,0.0,238.21,0.0
7Seas Entertainment Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A B B India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,3773.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4366.4800000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A B Cotspin India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.48,0.0,0.0,0.0,175.26,0.0
