Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.14999999999999,0.0,93.06,0.0,95.32000000000001,0.0,89.11999999999999,0.0,120.06,0.0,152.41,0.0,159.68999999999997,0.0,176.20000000000005,0.0,179.28999999999996,0.0,205.89000000000001,0.0,243.84000000000003,0.0,0.0,0.0,284.56,0.0
3B Blackbio Dx Ltd.,0.0,7.68,0.0,8.7,0.0,9.27,0.0,10.850000000000001,0.0,11.0,0.0,0.0,0.0,10.48,0.0,0.0,0.0,13.760000000000002,0.0,0.0,0.0,11.310000000000002,0.0,11.809999999999999,0.0,12.920000000000002,0.0,17.13,0.0,19.24,0.0,21.13,0.0,23.54,0.0,24.48,0.0,30.669999999999998,0.0,33.18,0.0,118.64,0.0,76.31,0.0,63.32000000000001,0.0,66.24000000000001,0.0,76.53,0.0,101.07,0.0,111.81,0.0,105.92,0.0,114.85999999999999,0.0,113.6,0.0
3I Infotech Ltd.,0.0,531.44,0.0,376.1500000000001,0.0,748.11,0.0,351.08000000000004,0.0,-340.97999999999996,0.0,-335.68000000000006,0.0,-552.8599999999999,0.0,-447.67,0.0,-610.92,0.0,-652.96,0.0,-873.3,0.0,23.519999999999982,0.0,47.579999999999984,0.0,141.31,0.0,149.26000000000002,0.0,134.25,0.0,196.63,0.0,209.56000000000006,0.0,194.21999999999997,0.0,197.07000000000005,0.0,227.59999999999997,0.0,720.8399999999999,0.0,299.51,0.0,262.19,0.0,170.33,0.0,129.57,0.0,74.01999999999998,0.0,39.420000000000016,0.0,33.80000000000001,0.0,42.78,0.0
3M India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.4499999999998,0.0,0.0,0.0,974.2199999999999,0.0,1163.13,0.0,1288.9,0.0,1321.73,0.0,1412.8600000000001,0.0,1471.1,0.0,1638.8999999999999,0.0,1814.87,0.0,1116.8700000000001,0.0,1291.7600000000002,0.0,1584.89,0.0,0.0,0.0,0.0,0.0
3P Land Holdings Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.6599999999999999,0.0,0.36,0.0,0.57,0.0,1.16,0.0,0.61,0.0,0.07999999999999999,0.0,0.010000000000000009,0.0,0.11,0.0,0.04999999999999999,0.0,0.0,0.0,-0.2700000000000001,0.0,-0.21000000000000002,0.0
52 Weeks Entertainment Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,-9.27,0.0,-6.029999999999999,0.0,10.64,0.0,18.949999999999996,0.0,14.649999999999999,0.0,18.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63 Moons Technologies Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1366.65,0.0,1406.46,0.0,1390.87,0.0,1368.4199999999998,0.0,1339.42,0.0,1376.7099999999998,0.0,1424.7,0.0,1510.03,0.0,1467.98,0.0,1028.9299999999998,0.0,1334.6100000000001,0.0,1574.9900000000002,0.0,1973.5499999999997,0.0
7Seas Entertainment Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A B B India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,849.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1658.3599999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1764.2999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A B Cotspin India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.22,0.0,0.0,0.0,163.09,0.0
